,Date,Team,Acquired,Relinquished,Notes
3,1959-12-31,Titans (AFL),• Blanche Martin,,signed draft pick
4,1960-01-01,Titans (AFL),• Leon Horin,,signed
5,1960-01-10,Titans (AFL),• Don Maynard,,signed free agent
6,1960-01-27,Titans (AFL),,• Jerry Epps,lost in 1960 AFL allocation draft (to Raiders (AFL))
7,1960-01-27,Titans (AFL),,• Ramon Armstrong,lost in 1960 AFL allocation draft (to Raiders (AFL))
8,1960-01-27,Titans (AFL),,• Ron Newhouse,lost in 1960 AFL allocation draft (to Raiders (AFL))
9,1960-04-14,Titans (AFL),• Larry Bielat,,signed
10,1960-05-04,Titans (AFL),• Peter Abadle,,signed
11,1960-05-08,Titans (AFL),• Steve Sebo,,hired as general manager (date approximate)
12,1960-05-19,Titans (AFL),• Bob Mischak,,signed
13,1960-07-01,Titans (AFL),• Bill Shockley,,signed (date approximate)
14,1960-07-21,Titans (AFL),• Al Dorow,,signed
15,1960-08-09,Titans (AFL),,• Frank Kremblas,released
16,1960-08-09,Titans (AFL),,• Ray Bell,released
17,1960-08-23,Titans (AFL),• Bill Mathis,• rights to Don Floyd (a),trade with Oilers (AFL) (Football Register)
18,1960-08-23,Titans (AFL),• Bill Mathis  • Bob Crandall,• future draft rights (?) / rights to undisclosed player (?),trade with Oilers (AFL) ( UPI)
19,1960-08-23,Titans (AFL),• Don Stiller,,signed
20,1960-08-23,Titans (AFL),• Leon Burton,,signed
21,1960-08-31,Titans (AFL),• Gerhard Schwedes / Ger Schwedes,• Marshall Harris (a)  • 1961 seventh round pick (?-?),trade with Patriots (AFL)
22,1960-09-01,Titans (AFL),• Mike Hudock,,signed (date approximate)
23,1960-09-01,Titans (AFL),• Bob Reifsnyder,• rights to Ben Agajanian,trade with Chargers (AFL)
24,1960-09-27,Titans (AFL),• Ed Cooke (Grey),,signed
25,1960-11-21,Titans (AFL),• Tom Brown,,1961 AFL draft first round pick (#2 overall)
1,1960-11-21,Titans (AFL),• Herb Adderley,,1961 AFL draft second round pick (#10 overall)
2,1960-11-21,Titans (AFL),• Tom Matte,,1961 AFL draft fifth round pick (#34 overall)
3,1960-11-22,Titans (AFL),• Bill Brown (Dorsey),,1961 AFL draft sixth round pick (#42 overall)
4,1960-12-05,Titans (AFL),• Fred Mautino,,1961 AFL draft seventh round pick (#50 overall)
5,1960-12-05,Titans (AFL),• Harold Beaty,,1961 AFL draft eighth round pick (#58 overall)
6,1960-12-05,Titans (AFL),• Bernie Casey,,1961 AFL draft ninth round pick (#66 overall)
7,1960-12-05,Titans (AFL),• Joe Scibelli,,1961 AFL draft tenth round pick (#74 overall)
8,1960-12-05,Titans (AFL),• Art Gilmore,,1961 AFL draft eleventh round pick (#82 overall)
9,1960-12-05,Titans (AFL),• Norris Stevenson,,1961 AFL draft twelfth round pick (#90 overall)
10,1960-12-05,Titans (AFL),• Joe Wendryhoski,,1961 AFL draft 13th round pick (#98 overall)
11,1960-12-05,Titans (AFL),• Jim Cunningham,,1961 AFL draft 14th round pick (#106 overall)
12,1960-12-05,Titans (AFL),• Irv Cross,,1961 AFL draft 15th round pick (#114 overall)
13,1960-12-05,Titans (AFL),• Jerry Steffen,,1961 AFL draft 16th round pick (#122 overall)
14,1960-12-05,Titans (AFL),• Mike Pyle,,1961 AFL draft 17th round pick (#130 overall)
15,1960-12-05,Titans (AFL),• Alfred Bentley,,1961 AFL draft 18th round pick (#138 overall)
16,1960-12-05,Titans (AFL),• Jim Kerr,,1961 AFL draft 19th round pick (#146 overall)
17,1960-12-05,Titans (AFL),• Neill Plumley / Neil Plumley,,1961 AFL draft 20th round pick (#154 overall)
18,1960-12-05,Titans (AFL),• Bob Brooks / Robert Brooks (a)?,,1961 AFL draft 21st round pick (#162 overall)
19,1960-12-05,Titans (AFL),• Wayne Fontes,,1961 AFL draft 22nd round pick (#170 overall)
20,1960-12-05,Titans (AFL),• Mickey Walker,,1961 AFL draft 23rd round pick (#178 overall)
21,1960-12-05,Titans (AFL),• Howard Dyer,,1961 AFL draft 24th round pick (#186 overall)
22,1960-12-05,Titans (AFL),• Andy Griffith,,1961 AFL draft 25th round pick (#194 overall)
23,1960-12-05,Titans (AFL),• Bobby Smith (Lee) / Bobby Lee Smith,,1961 AFL draft 26th round pick (#202 overall)
24,1960-12-05,Titans (AFL),• Moses Gray,,1961 AFL draft 27th round pick (#210 overall)
25,1960-12-05,Titans (AFL),• Fred Cox,,1961 AFL draft 28th round pick (#218 overall)
1,1960-12-05,Titans (AFL),• Bill Minnerly,,1961 AFL draft 30th round pick (#234 overall)
2,1960-12-23,Titans (AFL),• Steve Sebo,,re-signed as general manager to a 1-year contract through 1961
3,1961-08-14,Titans (AFL),,• Bob Dannington,waived
4,1961-08-14,Titans (AFL),,• Joe Biscaha,waived
5,1961-08-23,Titans (AFL),,• Fred Julian,released
6,1961-08-23,Titans (AFL),,• Horace Gillom,released
7,1961-08-23,Titans (AFL),,• Roger Donnahue,released
8,1961-08-28,Titans (AFL),,• Mike Hagler,waived
9,1961-09-11,Titans (AFL),,• Mike Hudock,surgery to repair broken jaw (date approximate)
10,1961-09-13,Titans (AFL),,• Mike Hudock,released
11,1961-09-13,Titans (AFL),,• Proverb Jacobs,released
12,1961-09-20,Titans (AFL),,• Bert Rechichar,released
13,1961-09-20,Titans (AFL),,• Bob Reifsnyder,released
14,1961-09-20,Titans (AFL),,• Lowe Wren / Junior Wren,released
15,1961-09-20,Titans (AFL),• Bob Renn,,signed
16,1961-09-20,Titans (AFL),• Jack Johnson / Curly Johnson / Curley Johnson,,signed
17,1961-09-20,Titans (AFL),• Lee Riley,,signed
18,1961-09-20,Titans (AFL),• Tom Budrewicz,,signed
19,1961-10-10,Titans (AFL),• Jack Johnson / Curly Johnson / Curley Johnson  • Paul Miller,• rights to Curt Merz,trade with Texans (AFL) (date approximate)
20,1961-10-24,Titans (AFL),,• Bill Shockley,waived
21,1961-10-25,Titans (AFL),• John Bookman / Johnny Bookman,,signed
22,1961-12-02,Titans (AFL),• Sandy Stephens,,1962 AFL draft first round pick (#5 overall)
23,1961-12-02,Titans (AFL),• Alex Kroll,,1962 AFL draft second round pick (#13 overall)
24,1961-12-02,Titans (AFL),• Fate Echols,,1962 AFL draft third round pick (#21 overall)
25,1961-12-02,Titans (AFL),• Ed Blaine,,1962 AFL draft fourth round pick (#29 overall)
1,1961-12-02,Titans (AFL),• Bobby Ply,,1962 AFL draft fifth round pick (#37 overall)
2,1961-12-02,Titans (AFL),• Mel Melin / Mel Mellin,,1962 AFL draft sixth round pick (#45 overall)
3,1961-12-02,Titans (AFL),• George Mans,,1962 AFL draft seventh round pick (#53 overall)
4,1961-12-02,Titans (AFL),• John Lomakoski,,1962 AFL draft eighth round pick (#61 overall)
5,1961-12-02,Titans (AFL),• Gary Barnes,,1962 AFL draft ninth round pick (#69 overall)
6,1961-12-02,Titans (AFL),• Ted Stute,,1962 AFL draft tenth round pick (#77 overall)
7,1961-12-02,Titans (AFL),• Curtis Miranda,,1962 AFL draft eleventh round pick (#85 overall)
8,1961-12-02,Titans (AFL),• Bill Winter (a),,1962 AFL draft twelfth round pick (#90 overall)
9,1961-12-02,Titans (AFL),• Wilburn Hollis,,1962 AFL draft 13th round pick (#101 overall)
10,1961-12-02,Titans (AFL),• Bert Wilder,,1962 AFL draft 14th round pick (#109 overall)
11,1961-12-02,Titans (AFL),• Sam Mudie,,1962 AFL draft 15th round pick (#117 overall)
12,1961-12-02,Titans (AFL),• Jim Smith (a),,1962 AFL draft 16th round pick (#125 overall)
13,1961-12-02,Titans (AFL),• Allen Miller / Al Miller,,1962 AFL draft 17th round pick (#133 overall)
14,1961-12-02,Titans (AFL),• Buddy Iles,,1962 AFL draft 18th round pick (#141 overall)
15,1961-12-02,Titans (AFL),• Reed Bohovich,,1962 AFL draft 19th round pick (#149 overall)
16,1961-12-02,Titans (AFL),• Judge Dickson,,1962 AFL draft 20th round pick (#157 overall)
17,1961-12-02,Titans (AFL),• Ron Hatcher,,1962 AFL draft 21st round pick (#165 overall)
18,1961-12-02,Titans (AFL),• Tom Nolan,,1962 AFL draft 22nd round pick (#173 overall)
19,1961-12-02,Titans (AFL),• John Kuprok,,1962 AFL draft 23rd round pick (#181 overall)
20,1961-12-02,Titans (AFL),• Johnny Counts,,1962 AFL draft 24th round pick (#189 overall)
21,1961-12-02,Titans (AFL),• Russ Warren,,1962 AFL draft 25th round pick (#197 overall)
22,1961-12-02,Titans (AFL),• Chuck Morris,,1962 AFL draft 26th round pick (#205 overall)
23,1961-12-02,Titans (AFL),• Jerry Archer,,1962 AFL draft 27th round pick (#213 overall)
24,1961-12-02,Titans (AFL),• Walter Nikirk,,1962 AFL draft 28th round pick (#221 overall)
25,1961-12-02,Titans (AFL),• (Billy) Frank Parker,,1962 AFL draft 29th round pick (#229 overall)
1,1961-12-02,Titans (AFL),• Mike McClellan,,1962 AFL draft 30th round pick (#237 overall)
2,1961-12-02,Titans (AFL),• L.E. Hicks,,1962 AFL draft 31st round pick (#245 overall)
3,1961-12-02,Titans (AFL),• Don Jonas,,1962 AFL draft 32nd round pick (#253 overall)
4,1961-12-02,Titans (AFL),• Nick Maravich,,1962 AFL draft 33rd round pick (#261 overall)
5,1961-12-02,Titans (AFL),• Dick Wilson,,1962 AFL draft 34th round pick (#269 overall)
6,1961-12-13,Titans (AFL),• Lawrence McHugh,,signed
7,1961-12-19,Titans (AFL),,• Sammy Baugh,fired as head coach
8,1961-12-19,Titans (AFL),• Clyde Turner / Bulldog Turner,,hired as head coach
9,1961-12-25,Titans (AFL),• Ted Green / Ted Greene  • Sid Fournet,• Bobby Ply,trade with Texans (AFL)
10,1962-01-04,Titans (AFL),• George Sauer / George Henry Sauer?,,hired as assistant coach
11,1962-01-26,Titans (AFL),• Ed Songin / Butch Songin,• Dick Felt,trade with Patriots (AFL)
12,1962-04-18,Titans (AFL),• Wayne Fontes,,signed
13,1962-05-17,Titans (AFL),• Bill Shockley,• draft pick (?-?),trade with Bills (AFL)
14,1962-06-02,Titans (AFL),• Perry Richards,• Tom Saidock,trade with Bills (AFL)
15,1962-06-23,Titans (AFL),• Bill Shockley,,re-signed
16,1962-06-23,Titans (AFL),• Perry Richards,,signed
17,1962-08-16,Titans (AFL),• Billy Atkins  • Johnny Green,• Al Dorow,trade with Bills (AFL)
18,1962-08-21,Titans (AFL),,• John Bookman / Johnny Bookman,waived
19,1962-08-21,Titans (AFL),,• Paul Miller,waived
20,1962-08-21,Titans (AFL),,• Ted Green / Ted Greene,waived
21,1962-08-25,Titans (AFL),• Charlie Flowers,?,trade with Chargers (AFL)
22,1962-08-28,Titans (AFL),,• Bob Scrabis,waived
23,1962-08-29,Titans (AFL),,• Bill Wiedierrecht,cut
24,1962-08-29,Titans (AFL),,• Jack Roberts,cut
25,1962-08-29,Titans (AFL),,• Vaughn Williams (a),cut
1,1962-09-04,Titans (AFL),,• Dean Look,waived
2,1962-09-04,Titans (AFL),,• Ed Kovac,waived
3,1962-09-04,Titans (AFL),,• Francis Morelli / Frank Morelli / Fran Morelli,waived
4,1962-09-04,Titans (AFL),,• Jim Tiller,waived
5,1962-09-04,Titans (AFL),,• John McMullan,waived
6,1962-09-04,Titans (AFL),,• Robert Brooks (a),waived
7,1962-09-04,Titans (AFL),,• Robert Waters / Bobby Waters?,waived
8,1962-09-09,Titans (AFL),• Clyde Lee Grosscup,,signed
9,1962-12-01,Titans (AFL),• Jerry Stovall,,1963 AFL draft first round pick (#3 overall)
10,1962-12-01,Titans (AFL),• Willie Richardson,,1963 AFL draft third round pick (#19 overall)
11,1962-12-01,Titans (AFL),• John Contoulis,,1963 AFL draft fourth round pick (#27 overall)
12,1962-12-01,Titans (AFL),• John Mackey,,1963 AFL draft fifth round pick (#35 overall)
13,1962-12-01,Titans (AFL),• Jim Price (Bluford),,1963 AFL draft sixth round pick (#43 overall)
14,1962-12-01,Titans (AFL),• Louis Guy / Buddy Guy,,1963 AFL draft seventh round pick (#51 overall)
15,1962-12-01,Titans (AFL),• Bill King,,1963 AFL draft eighth round pick (#59 overall)
16,1962-12-01,Titans (AFL),• Stan Sanders,,1963 AFL draft ninth round pick #67 overall)
17,1962-12-01,Titans (AFL),• Tony Liscio,,1963 AFL draft tenth round pick (#75 overall)
18,1962-12-01,Titans (AFL),• Joe Craver,,1963 AFL draft twelfth round pick (#91 overall)
19,1962-12-01,Titans (AFL),• Tommy Lucas,,1963 AFL draft twelfth round pick (#96 overall)
20,1962-12-01,Titans (AFL),• Olin Hill,,1963 AFL draft 13th round pick (#99 overall)
21,1962-12-01,Titans (AFL),• Pete Liske,,1963 AFL draft 15th round pick (#115 overall)
22,1962-12-01,Titans (AFL),• Nick Ryder,,1963 AFL draft 16th round pick (#123 overall)
23,1962-12-01,Titans (AFL),• Charley Johnson / Charlie Johnson,,1963 AFL draft 17th round pick (#131 overall)
24,1962-12-01,Titans (AFL),• Bill Minsey,,1963 AFL draft 18th round pick (#139 overall)
25,1962-12-01,Titans (AFL),• Gary Kroner,,1963 AFL draft 19th round pick (#147 overall)
1,1962-12-01,Titans (AFL),• John Johnson (Howard),,1963 AFL draft 20th round pick (#155 overall)
2,1962-12-01,Titans (AFL),• Ron VanderKelen,,1963 AFL draft 21st round pick (#163 overall)
3,1962-12-01,Titans (AFL),• Bill Thornton,,1963 AFL draft 22nd round pick (#171 overall)
4,1962-12-01,Titans (AFL),• Louis Rettino / Lou Rettino,,1963 AFL draft 23rd round pick (#179 overall)
5,1962-12-01,Titans (AFL),• Lowell Caylor,,1963 AFL draft 24th round pick (#187 overall)
6,1962-12-01,Titans (AFL),• Joe Baughan,,1963 AFL draft 25th round pick (#195 overall)
7,1962-12-01,Titans (AFL),• Terry Monaghan,,1963 AFL draft 26th round pick (#203 overall)
8,1962-12-01,Titans (AFL),• Dave Herman,,1963 AFL draft 27th round pick (#211 overall)
9,1962-12-01,Titans (AFL),• Myron Taliaferro / Mike Taliaferro (Eugene),,1963 AFL draft 28th round pick (#219 overall)
10,1962-12-01,Titans (AFL),• Paul Wicker,,1963 AFL draft 29th round pick (#227 overall)
11,1963-01-31,Titans (AFL),,• Art Powell,lost free agent (to Raiders (AFL))
12,1963-03-28,Titans (AFL),• David Werblin (A.) / Sonny Werblin  • Townsend Martin (B.)  • Leon Hess  • Donald C. Lillis  • Philip H. Iselin,,purchased team for $1M
13,1963-04-15,Jets (AFL),• Clyde Lee Grosscup,,New York Titans (AFL) renamed Jets (AFL)
14,1963-04-15,Jets (AFL),• George Sauer / George Henry Sauer?,,New York Titans (AFL) renamed Jets (AFL)
15,1963-04-15,Jets (AFL),• Larry Grantham,,New York Titans (AFL) renamed Jets (AFL)
16,1963-04-15,Jets (AFL),• Lee Riley,,New York Titans (AFL) renamed Jets (AFL)
17,1963-04-15,Jets (AFL),• Myron Taliaferro / Mike Taliaferro (Eugene),,New York Titans (AFL) renamed Jets (AFL)
18,1963-04-15,Jets (AFL),• Weeb Ewbank,,hired as head coach and general manager
19,1963-05-01,Jets (AFL),• Chuck Knox Sr.,,hired as assistant coach (date approximate)
20,1963-05-01,Jets (AFL),• Clive Rush,,hired as assistant coach (date approximate)
21,1963-05-01,Jets (AFL),• George Sauer / George Henry Sauer?,,re-signed as head talent scout (date approximate)
22,1963-05-01,Jets (AFL),• J.D. Donaldson,,hired as assistant coach (date approximate)
23,1963-05-01,Jets (AFL),• Walt Michaels,,hired as assistant coach (date approximate)
24,1963-08-01,Jets (AFL),• Bill Wood,,signed
25,1963-08-01,Jets (AFL),• Charley Theokas,• cash,trade with Patriots (AFL)
1,1963-08-02,Jets (AFL),• Peter Perreault / Pete Perreault,,signed free agent (date approximate)
2,1963-08-07,Jets (AFL),• Sherman Plunkett,• 1964 seventh round pick (#51-Roger Anderson),trade with Chargers (AFL)
3,1963-08-12,Jets (AFL),,• Ed Kovac,waived
4,1963-08-12,Jets (AFL),,• Francis Morelli / Frank Morelli / Fran Morelli,waived
5,1963-08-12,Jets (AFL),,• Frank Robotti,waived
6,1963-08-13,Jets (AFL),• Bob Clemens (b)?,,signed
7,1963-08-13,Jets (AFL),• Winston Hill,,signed free agent
8,1963-08-21,Jets (AFL),,• Merrill Douglas,placed on deferred list
9,1963-08-31,Jets (AFL),• Bake Turner,,signed free agent
10,1963-09-03,Jets (AFL),,• Bill Shockley,cut
11,1963-09-03,Jets (AFL),,• Bob Butts,cut
12,1963-09-03,Jets (AFL),,• Bob Clemens (b)?,cut
13,1963-09-03,Jets (AFL),,• Bruce Tarbox,cut
14,1963-09-03,Jets (AFL),,• Clyde Lee Grosscup,released
15,1963-09-03,Jets (AFL),,• Ed Chlebek / Ed Chiebek,cut
16,1963-09-03,Jets (AFL),,• Ed Cooke (Grey),placed on IR
17,1963-09-03,Jets (AFL),,• John Kapele,cut
18,1963-09-03,Jets (AFL),,• John McMullan,cut
19,1963-09-03,Jets (AFL),,• Lee Riley,cut
20,1963-09-03,Jets (AFL),,• Merrill Douglas,cut
21,1963-09-03,Jets (AFL),,• Perry Richards,cut
22,1963-09-03,Jets (AFL),,• Thurlow Cooper,cut
23,1963-09-03,Jets (AFL),,• Will Renfro,placed on IR
24,1963-09-03,Jets (AFL),• Dee Mackey,,signed
25,1963-09-03,Jets (AFL),• Dick Wood (a),,signed
1,1963-09-03,Jets (AFL),• Mark Smolinski,,signed free agent
2,1963-09-05,Titans (AFL),• Jim Price (Bluford),,signed 1963 sixth round pick
3,1963-09-05,Titans (AFL),• William Baird / Bill Baird / Billy Baird,,signed free agent
4,1963-11-14,Jets (AFL),,• Ted Bates,released
5,1963-11-14,Jets (AFL),• Paul Rochester,,signed free agent
6,1963-11-30,Jets (AFL),• Matt Snell,,1964 AFL draft first round pick (#3 overall)
7,1963-11-30,Jets (AFL),• Lloyd Voss,,1964 AFL draft second round pick (#11 overall)
8,1963-11-30,Jets (AFL),• Gerry Philbin / Jerry Philbin,,1964 AFL draft third round pick (#19 overall)
9,1963-11-30,Jets (AFL),• Jimmy Evans,,1964 AFL draft fourth round pick (#27 overall)
10,1963-11-30,Jets (AFL),• Ben McGee,,1964 AFL draft fifth round pick (#35 overall)
11,1963-11-30,Jets (AFL),• Ralph Baker,,1964 AFL draft sixth round pick (#43 overall)
12,1963-11-30,Jets (AFL),• Steve Wright (T.),,1964 AFL draft eighth round pick (#59 overall)
13,1963-11-30,Jets (AFL),• Sherman Lewis,,1964 AFL draft ninth round pick (#67 overall)
14,1963-11-30,Jets (AFL),• Ken Bowman,,1964 AFL draft tenth round pick (#75 overall)
15,1963-11-30,Jets (AFL),• Bob Lacey,,1964 AFL draft eleventh round pick (#83 overall)
16,1963-11-30,Jets (AFL),• Rudy Johnson / Ruby Johnson,,1964 AFL draft twelfth round pick (#91 overall)
17,1963-11-30,Jets (AFL),• Jeff Ware,,1964 AFL draft 13th round pick (#99 overall)
18,1963-11-30,Jets (AFL),• Charley Brooks,,1964 AFL draft 14th round pick (#107 overall)
19,1963-11-30,Jets (AFL),• Herman Johnson (a) / Herm Johnson,,1964 AFL draft 15th round pick (#115 overall)
20,1963-11-30,Jets (AFL),• Ray Popp,,1964 AFL draft 16th round pick (#123 overall)
21,1963-11-30,Jets (AFL),• Bob Lehman,,1964 AFL draft 17th round pick (#131 overall)
22,1963-11-30,Jets (AFL),• Bill Scott,,1964 AFL draft 18th round pick (#139 overall)
23,1963-11-30,Jets (AFL),• Glen Condren,,1964 AFL draft 19th round pick (#147 overall)
24,1963-11-30,Jets (AFL),• Dick Shiner,,1964 AFL draft 20th round pick (#155 overall)
25,1963-11-30,Jets (AFL),• Larry Hand,,1964 AFL draft 21st round pick (#163 overall)
1,1963-11-30,Jets (AFL),• Will Radosevich,,1964 AFL draft 22nd round pick (#171 overall)
2,1963-11-30,Jets (AFL),• Cornell Gordon,,1964 AFL draft 23rd round pick (#179 overall)
3,1963-11-30,Jets (AFL),• Mike Mayne,,1964 AFL draft 24th round pick (#187 overall)
4,1963-11-30,Jets (AFL),• Jerry Rhome,,1964 AFL draft 25th round pick (#195 overall)
5,1963-11-30,Jets (AFL),• John Butler (b),,1964 AFL draft 26th round pick (#203 overall)
6,1963-12-05,Jets (AFL),• Matt Snell,,signed first round pick
7,1964-03-13,Jets (AFL),• David Werblin / Sonny Werblin  • Townsend Martin  • Leon Hess  • Donald Lillis  • Philip Iselin,• Harry Wismer,transfer of ownership for $1M
8,1964-03-21,Jets (AFL),• Gene Prebola  • Ed McDaniel / Wahoo McDaniel  • Gordy Holtz  • Bob Zeman,• Dick Guesman  • Ed Cooke (Grey)  • Charlie Janerette / Charley Janerette / Chuck Janerette  • Jim Price (Bluford)  • Sid Fournet,trade with Broncos (AFL)
9,1964-03-23,Jets (AFL),• Jim Turner (Bayard),,signed free agent
10,1964-04-01,Jets (AFL),• Ralph Baker,,sixth round pick (date approximate)
11,1964-07-01,Jets (AFL),• John Schmitt,,signed free agent (date approximate)
12,1964-07-08,Jets (AFL),• Sam DeLuca,• cash,trade with Chargers (AFL)
13,1964-08-24,Jets (AFL),,• Bob Watters,surgery on right knee to remove floating bone chip (date approximate)
14,1964-08-25,Jets (AFL),,• Bill Venture / Bill Ventura,waived
15,1964-08-25,Jets (AFL),,• Bob Watters,waived
16,1964-08-25,Jets (AFL),,• Dave West,waived
17,1964-08-25,Jets (AFL),,• Dave Yohn,waived
18,1964-08-31,Jets (AFL),,• Dick Christy,released
19,1964-09-01,Jets (AFL),,• Bob Zeman,waived
20,1964-09-01,Jets (AFL),,• Gene Prebola,waived
21,1964-09-01,Jets (AFL),,• Rudy Johnson / Ruby Johnson,waived
22,1964-09-08,Jets (AFL),,• Bill Perkins,waived
23,1964-09-08,Jets (AFL),,• Ed Cummings,placed on IR
24,1964-09-08,Jets (AFL),,• Jack Blotz,cut
25,1964-09-08,Jets (AFL),,• Jack Klotz,placed on IR
1,1964-09-08,Jets (AFL),,• Louis Guy / Buddy Guy,waived
2,1964-09-08,Jets (AFL),,• Pete Liske,added to taxi squad
3,1964-09-08,Jets (AFL),• Pete Kiske,,signed to taxi squad
4,1964-09-08,Jets (AFL),,• William Rademacher / Bill Rademacher,cut
5,1964-09-08,Jets (AFL),• William Rademacher / Bill Rademacher,,signed to taxi squad
6,1964-11-07,Jets (AFL),• Willie West,,claimed off waivers (from Broncos (AFL))
7,1964-11-12,Jets (AFL),• William Rademacher / Bill Rademacher,,signed from taxi squad to active roster
8,1964-11-27,Jets (AFL),• first round pick (#2-Joe Namath),• rights to Jerry Rhome,trade with Oilers (AFL)
9,1964-11-28,Jets (AFL),• Joe Namath,,1965 AFL draft first round pick (#2 overall)
10,1964-11-28,Jets (AFL),• Tom Nowatzke,,1965 AFL draft first round pick (#4 overall)
11,1964-11-28,Jets (AFL),• John Huarte,,1965 AFL draft second round pick (#12 overall)
12,1964-11-28,Jets (AFL),• Verlon Biggs,,1965 AFL draft third round pick (#20 overall)
13,1964-11-28,Jets (AFL),• Bob Schweickert,,1965 AFL draft fourth round pick (#28 overall)
14,1964-11-28,Jets (AFL),• Glen Sasser,,1965 AFL draft fifth round pick (#36 overall)
15,1964-11-28,Jets (AFL),• Don Hoovler,,1965 AFL draft sixth round pick (#44 overall)
16,1964-11-28,Jets (AFL),• Archie Roberts,,1965 AFL draft seventh round pick (#51 overall)
17,1964-11-28,Jets (AFL),• Jim Harris,,1965 AFL draft seventh round pick (#52 overall)
18,1964-11-28,Jets (AFL),• Rick McCurdy,,1965 AFL draft eighth round pick (#60 overall)
19,1964-11-28,Jets (AFL),• Jimmy Sidle,,1965 AFL draft ninth round pick (#68 overall)
20,1964-11-28,Jets (AFL),• Frank Lambert,,1965 AFL draft tenth round pick (#76 overall)
