,Year,Player,Team,G,College,BirthDate
53,1999,James Williams,Bears,16,Cheyney,3/29/1968
54,1999,Jerry Wisne,Bears,7,Notre Dame,7/28/1976
55,1999,Team Total,Bears,16,,
0,1999,Willie Anderson,Bengals,14,Auburn,7/11/1975
1,1999,JoJuan Armour,Bengals,2,Miami (OH),7/10/1976
2,1999,Michael Bankston,Bengals,16,Sam Houston St.,3/12/1970
3,1999,Michael Basnight,Bengals,13,North Carolina A&T,9/3/1977
4,1999,Marco Battaglia,Bengals,16,Rutgers,1/25/1973
5,1999,Myron Bell,Bengals,16,Michigan St.,9/15/1971
6,1999,Roosevelt Blackmon,Bengals,5,Morris Brown,9/10/1974
7,1999,Jeff Blake,Bengals,14,East Carolina,12/4/1970
8,1999,Rich Braham,Bengals,16,West Virginia,11/6/1970
9,1999,Will Brice,Bengals,11,Virginia,10/24/1974
10,1999,Steve Bush,Bengals,13,Arizona St.,7/4/1974
11,1999,Ki-Jana Carter,Bengals,3,Penn St.,9/12/1973
12,1999,Tom Carter,Bengals,2,Notre Dame,9/5/1972
13,1999,Rico Clark,Bengals,8,Louisville,6/6/1974
14,1999,John Copeland,Bengals,16,Alabama,9/20/1970
15,1999,Brad Costello,Bengals,5,"Michigan St.,Boston Univ.",12/12/1974
16,1999,Scott Covington,Bengals,3,Miami (FL),1/17/1976
17,1999,Canute Curtis,Bengals,15,West Virginia,8/4/1974
18,1999,Brian DeMarco,Bengals,7,Michigan St.,4/9/1972
19,1999,Corey Dillon,Bengals,15,Washington,10/24/1974
20,1999,Charles Fisher,Bengals,1,West Virginia,2/2/1976
21,1999,Steve Foley,Bengals,16,La-Monroe,9/11/1975
22,1999,Oliver Gibson,Bengals,16,Notre Dame,3/15/1972
23,1999,Mike Goff,Bengals,12,Iowa,1/6/1976
24,1999,Billy Granville,Bengals,16,Duke,3/11/1974
25,1999,Damon Griffin,Bengals,13,Oregon,6/14/1976
26,1999,Clif Groce,Bengals,16,Texas A&M,7/30/1972
27,1999,Brock Gutierrez,Bengals,16,Central Michigan,9/25/1973
28,1999,Cory Hall,Bengals,16,Fresno St.,12/5/1976
29,1999,Artrell Hawkins,Bengals,14,Cincinnati,11/24/1976
30,1999,Rodney Heath,Bengals,16,Minnesota,10/29/1974
31,1999,Ty Howard,Bengals,12,Ohio St.,11/30/1973
32,1999,James Hundon,Bengals,6,Portland St.,4/9/1971
33,1999,Willie Jackson,Bengals,16,Florida,8/16/1971
34,1999,Rod Jones,Bengals,16,Kansas,1/11/1974
35,1999,Jevon Langford,Bengals,12,Oklahoma St.,2/16/1974
36,1999,Jay Leeuwenburg,Bengals,14,Colorado,6/18/1969
37,1999,Nick Luchey,Bengals,11,Miami (FL),3/30/1977
38,1999,Tremain Mack,Bengals,12,Miami (FL),11/21/1974
39,1999,Tony McGee,Bengals,16,Michigan,4/21/1971
40,1999,Brian Milne,Bengals,1,Penn St.,1/7/1973
41,1999,Greg Myers,Bengals,12,Colorado St.,9/30/1972
42,1999,Matt O'Dwyer,Bengals,16,Northwestern,9/1/1972
43,1999,Doug Pelfrey,Bengals,16,Kentucky,9/25/1970
44,1999,Ben Peterson,Bengals,3,Pittsburg St.,3/28/1977
45,1999,Carl Pickens,Bengals,16,Tennessee,3/23/1970
46,1999,Andre Purvis,Bengals,5,North Carolina,7/14/1973
47,1999,Adrian Ross,Bengals,16,Colorado St.,2/19/1975
48,1999,Darnay Scott,Bengals,16,San Diego St.,7/7/1972
49,1999,Sedrick Shaw,Bengals,1,Iowa,11/16/1973
50,1999,Brian Simmons,Bengals,16,North Carolina,6/21/1975
51,1999,Akili Smith,Bengals,7,Oregon,8/21/1975
52,1999,Takeo Spikes,Bengals,16,Auburn,12/17/1976
53,1999,Jimmy Sprotte,Bengals,4,Arizona,10/2/1974
54,1999,Glen Steele,Bengals,16,Michigan,10/4/1974
55,1999,Jamain Stephens,Bengals,7,North Carolina A&T,1/9/1974
56,1999,Kimo von Oelhoffen,Bengals,16,"Hawaii,Boise St.",1/30/1971
57,1999,Reinard Wilson,Bengals,15,Florida St.,12/17/1973
58,1999,Lawrence Wright,Bengals,14,Florida,9/6/1973
59,1999,Craig Yeast,Bengals,9,Kentucky,11/20/1976
60,1999,Team Total,Bengals,16,,
0,1999,Ethan Albright,Bills,16,North Carolina,5/1/1971
1,1999,Dan Brandenburg,Bills,14,Indiana St.,2/16/1973
2,1999,Ruben Brown,Bills,14,Pittsburgh,2/13/1972
3,1999,Keion Carpenter,Bills,10,Virginia Tech,10/31/1977
4,1999,Steve Christie,Bills,16,William & Mary,11/13/1967
5,1999,Bobby Collins,Bills,14,"East Mississippi CC,North Alabama",8/20/1976
6,1999,Bill Conaty,Bills,7,Virginia Tech,3/8/1973
7,1999,Sam Cowart,Bills,16,Florida St.,2/26/1975
8,1999,Joe Cummings,Bills,16,Wyoming,6/8/1974
9,1999,John Fina,Bills,16,Arizona,3/11/1969
10,1999,Doug Flutie,Bills,15,Boston Col.,10/23/1962
11,1999,Jay Foreman,Bills,7,Nebraska,2/18/1976
12,1999,Sam Gash,Bills,15,Penn St.,3/7/1969
13,1999,Lennox Gordon,Bills,8,New Mexico,4/9/1978
14,1999,Donovan Greer,Bills,16,Texas A&M,9/11/1974
15,1999,Phil Hansen,Bills,14,North Dakota St.,5/20/1968
16,1999,Robert Hicks,Bills,14,Mississippi St.,11/17/1974
17,1999,John Holecek,Bills,14,Illinois,5/7/1972
18,1999,Ken Irvin,Bills,14,Memphis,7/11/1972
19,1999,Sheldon Jackson,Bills,13,Nebraska,7/24/1976
20,1999,Rob Johnson,Bills,2,USC,3/18/1973
21,1999,Henry Jones,Bills,16,Illinois,12/29/1967
22,1999,Jonathan Linton,Bills,16,North Carolina,11/7/1974
23,1999,Kamil Loud,Bills,7,Cal Poly-San Luis Obispo,6/25/1976
24,1999,Emanuel Martin,Bills,7,Alabama St.,7/31/1969
25,1999,Jeremy McDaniel,Bills,1,Arizona,5/2/1976
26,1999,Chris Mohr,Bills,16,Alabama,5/11/1966
27,1999,Sean Moran,Bills,16,Colorado St.,6/5/1973
28,1999,Eric Moulds,Bills,14,Mississippi St.,7/17/1973
29,1999,Jamie Nails,Bills,16,Florida A&M,6/3/1975
30,1999,Keith Newman,Bills,3,North Carolina,1/19/1977
31,1999,Gabe Northern,Bills,16,LSU,6/8/1974
32,1999,Jerry Ostroski,Bills,15,Tulsa,7/12/1970
33,1999,Marlo Perry,Bills,16,Jackson St.,8/25/1972
34,1999,Daryl Porter,Bills,16,Boston Col.,1/16/1974
35,1999,Peerless Price,Bills,16,Tennessee,10/27/1976
36,1999,Shawn Price,Bills,15,Pacific,3/28/1970
37,1999,Andre Reed,Bills,16,Kutztown (PA),1/29/1964
38,1999,Jay Riemersma,Bills,14,Michigan,5/17/1973
39,1999,Sam Rogers,Bills,16,Colorado,5/30/1970
40,1999,Kurt Schulz,Bills,16,East. Washington,12/12/1968
41,1999,Antowain Smith,Bills,14,"East Mississippi CC,Houston",3/14/1972
42,1999,Bruce Smith,Bills,16,Virginia Tech,6/18/1963
43,1999,Thomas Smith,Bills,16,North Carolina,12/5/1970
44,1999,Marcus Spriggs,Bills,11,Houston,5/30/1974
45,1999,Thurman Thomas,Bills,5,Oklahoma St.,5/16/1966
46,1999,Alex Van Pelt,Bills,1,Pittsburgh,5/1/1970
47,1999,Ted Washington,Bills,16,Louisville,4/13/1968
48,1999,Marcellus Wiley,Bills,16,Columbia,11/30/1974
49,1999,Kevin Williams,Bills,16,Miami (FL),1/25/1971
50,1999,Pat Williams,Bills,16,"NE State (OK),Texas A&M",10/24/1972
51,1999,Antoine Winfield,Bills,16,Ohio St.,6/24/1977
52,1999,Dusty Zeigler,Bills,15,Notre Dame,9/27/1973
53,1999,Team Total,Bills,16,,
0,1999,John Avery,Broncos,6,"Northwest Mississippi CC,Mississippi",1/11/1976
1,1999,Chris Banks,Broncos,16,Kansas,4/4/1973
2,1999,David Bowens,Broncos,16,"Michigan,Western Illinois",7/3/1977
3,1999,Tyrone Braxton,Broncos,16,North Dakota St.,12/17/1964
4,1999,Bubby Brister,Broncos,2,"Tulane,La-Monroe",8/15/1962
5,1999,Cyron Brown,Broncos,7,"Illinois,Western Illinois",6/28/1975
6,1999,Eric Brown,Broncos,10,Mississippi St.,3/20/1975
7,1999,Glenn Cadrez,Broncos,16,Houston,1/2/1970
8,1999,Dwayne Carswell,Broncos,16,Liberty,1/18/1972
9,1999,Dale Carter,Broncos,14,Tennessee,11/28/1969
10,1999,Byron Chamberlain,Broncos,16,"Missouri,Wayne State (NE)",10/17/1971
11,1999,Desmond Clark,Broncos,9,Wake Forest,4/20/1977
12,1999,George Coghill,Broncos,13,Wake Forest,3/30/1970
13,1999,Andre Cooper,Broncos,10,Florida St.,6/21/1975
14,1999,Ray Crockett,Broncos,16,Baylor,1/5/1967
15,1999,Terrell Davis,Broncos,4,"Long Beach St.,Georgia",10/28/1972
16,1999,Chris Doering,Broncos,3,Florida,5/19/1973
17,1999,Jason Elam,Broncos,16,Hawaii,3/8/1970
18,1999,Olandis Gary,Broncos,12,"Marshall,Georgia",5/18/1975
19,1999,Paul Grasmanis,Broncos,5,Notre Dame,8/2/1974
20,1999,Brian Griese,Broncos,14,Michigan,3/18/1975
21,1999,Howard Griffith,Broncos,16,Illinois,11/17/1967
22,1999,Harald Hasselbach,Broncos,16,Washington,9/22/1967
23,1999,Tory James,Broncos,16,LSU,5/18/1973
24,1999,Darrius Johnson,Broncos,16,Oklahoma,5/18/1973
25,1999,Tony Jones,Broncos,12,Western Carolina,5/24/1966
26,1999,Matt Lepsis,Broncos,16,Colorado,1/13/1974
27,1999,Mike Lodish,Broncos,13,UCLA,8/11/1967
28,1999,Derek Loville,Broncos,10,Oregon,7/4/1968
29,1999,Anthony Lynn,Broncos,16,Texas Tech,12/21/1968
30,1999,Ed McCaffrey,Broncos,15,Stanford,8/17/1968
31,1999,Travis McGriff,Broncos,14,Florida,6/24/1976
32,1999,Billy Miller,Broncos,10,USC,4/24/1977
33,1999,Chris Miller,Broncos,3,Oregon,8/9/1965
34,1999,John Mobley,Broncos,2,Kutztown (PA),10/10/1973
35,1999,Jason Moore,Broncos,6,San Diego St.,1/15/1976
36,1999,Tom Nalen,Broncos,16,Boston Col.,5/13/1971
37,1999,Marcus Nash,Broncos,2,Tennessee,2/1/1976
38,1999,Dan Neil,Broncos,15,Texas,10/21/1973
39,1999,Trevor Pryce,Broncos,15,"Michigan,Clemson",8/3/1975
40,1999,Montae Reagor,Broncos,9,Texas Tech,6/29/1977
41,1999,Bill Romanowski,Broncos,16,Boston Col.,4/2/1966
42,1999,Tom Rouen,Broncos,16,"Colorado St.,Colorado",6/9/1968
43,1999,Steve Russ,Broncos,8,Air Force,9/16/1972
44,1999,Mark Schlereth,Broncos,16,Idaho,1/25/1966
45,1999,Shannon Sharpe,Broncos,5,Savannah St.,6/26/1968
46,1999,Detron Smith,Broncos,16,Texas A&M,2/25/1974
47,1999,Neil Smith,Broncos,15,Nebraska,4/10/1966
48,1999,Rod Smith,Broncos,15,Missouri Southern,5/15/1970
49,1999,Jason Suttle,Broncos,5,Wisconsin,12/2/1974
50,1999,Maa Tanuvasa,Broncos,16,Hawaii,11/6/1970
51,1999,Trey Teague,Broncos,16,Tennessee,12/27/1974
52,1999,Keith Traylor,Broncos,15,"Oklahoma,Central Oklahoma",9/3/1969
53,1999,Melvin Tuten,Broncos,2,Syracuse,11/11/1971
54,1999,Artie Ulmer,Broncos,7,"Georgia Southern,Valdosta St.",7/30/1973
55,1999,Chris Watson,Broncos,14,East. Illinois,6/30/1977
56,1999,Nate Wayne,Broncos,15,Mississippi,1/12/1975
57,1999,Alfred Williams,Broncos,7,Colorado,11/6/1968
58,1999,Al Wilson,Broncos,16,Tennessee,6/21/1977
59,1999,Team Total,Broncos,16,,
0,1999,Karim Abdul-Jabbar,Browns,10,UCLA,6/28/1974
1,1999,Rahim Abdullah,Browns,16,Clemson,3/22/1976
2,1999,Derrick Alexander,Browns,16,Florida St.,11/13/1973
3,1999,Jerry Ball,Browns,3,SMU,12/15/1964
4,1999,Roy Barker,Browns,12,North Carolina,2/14/1969
5,1999,Orlando Bobo,Browns,9,"East Mississippi CC,La-Monroe",2/9/1974
6,1999,Lomas Brown,Browns,10,Florida,3/30/1963
7,1999,Orlando Brown,Browns,15,"Central State (OH),South Carolina St.",11/12/1970
8,1999,Jim Bundren,Browns,16,Clemson,10/6/1974
9,1999,Mark Campbell,Browns,14,Michigan,12/6/1975
10,1999,Roger Chanoine,Browns,1,Temple,9/11/1976
11,1999,Darrin Chiaverini,Browns,16,Colorado,10/12/1977
12,1999,Stalin Colinet,Browns,11,Boston Col.,7/17/1974
13,1999,Tim Couch,Browns,15,Kentucky,7/31/1977
14,1999,Zola Davis,Browns,6,South Carolina,1/16/1975
15,1999,Phil Dawson,Browns,15,Texas,1/23/1975
16,1999,James Dearth,Browns,2,"Tulsa,Tarleton St.",1/22/1976
17,1999,Ty Detmer,Browns,5,BYU,10/30/1967
18,1999,Bill Duff,Browns,5,Tennessee,2/24/1974
19,1999,Damon Dunn,Browns,1,Stanford,3/15/1976
20,1999,David Dunn,Browns,6,Fresno St.,6/10/1972
21,1999,Marc Edwards,Browns,16,Notre Dame,11/17/1974
22,1999,Marlon Forbes,Browns,16,Penn St.,12/25/1971
23,1999,Corey Fuller,Browns,16,Florida St.,5/1/1971
24,1999,Chris Gardocki,Browns,16,Clemson,2/7/1970
25,1999,Damon Gibson,Browns,2,Iowa,2/25/1975
26,1999,Madre Hill,Browns,5,Arkansas,1/2/1976
27,1999,Darius Holland,Browns,15,Colorado,11/10/1973
28,1999,Raymond Jackson,Browns,14,Colorado St.,2/17/1973
29,1999,Kevin Johnson,Browns,16,Syracuse,7/15/1976
30,1999,George Jones,Browns,6,San Diego St.,12/31/1973
31,1999,Lenoy Jones,Browns,16,TCU,9/25/1974
32,1999,John Jurkovic,Browns,10,East. Illinois,8/18/1967
33,1999,Terry Kirby,Browns,16,Virginia,1/20/1970
34,1999,Ryan Kuehl,Browns,16,Virginia,1/18/1972
35,1999,Antonio Langham,Browns,13,Alabama,7/31/1972
36,1999,Earl Little,Browns,9,"Michigan,Miami (FL)",3/10/1973
37,1999,Hurvin McCormack,Browns,13,Indiana,4/6/1972
38,1999,Daylon McCutcheon,Browns,16,USC,12/9/1976
39,1999,Ryan McNeil,Browns,16,Miami (FL),10/4/1970
40,1999,Tim McTyer,Browns,2,BYU,12/14/1975
41,1999,Arnold Miller,Browns,9,LSU,1/3/1975
42,1999,Jamir Miller,Browns,15,UCLA,11/19/1973
43,1999,Kendall Ogle,Browns,2,Maryland,11/25/1975
44,1999,Randy Palmer,Browns,3,Texas A&M-Kingsville,11/12/1975
45,1999,Marquez Pope,Browns,16,Fresno St.,10/29/1970
46,1999,Ronnie Powell,Browns,14,"Arkansas Tech,Northwestern St. (LA)",11/3/1974
47,1999,Jim Pyne,Browns,16,Virginia Tech,11/23/1971
48,1999,Wali Rainer,Browns,16,Virginia,4/19/1977
49,1999,Scott Rehberg,Browns,15,Central Michigan,11/17/1973
50,1999,Tyrone Rogers,Browns,3,Alabama St.,3/9/1974
51,1999,Chris Ruhman,Browns,5,Texas A&M,12/19/1974
52,1999,Rashaan Salaam,Browns,2,Colorado,10/8/1974
53,1999,Tarek Saleh,Browns,16,Wisconsin,11/7/1974
54,1999,Sedrick Shaw,Browns,3,Iowa,11/16/1973
55,1999,Leslie Shepherd,Browns,9,Temple,11/3/1969
56,1999,Irv Smith,Browns,13,Notre Dame,10/13/1971
57,1999,Marquis Smith,Browns,16,California,1/13/1975
58,1999,Marcus Spriggs,Browns,10,"Ohio St.,Troy",7/26/1976
59,1999,John Thierry,Browns,16,Alcorn St.,9/4/1971
60,1999,Mike Thompson,Browns,10,Wisconsin,12/22/1971
61,1999,James Williams,Browns,16,Mississippi St.,10/10/1968
62,1999,Dave Wohlabaugh,Browns,15,Syracuse,4/13/1972
63,1999,Steve Zahursky,Browns,9,Kent St.,9/2/1976
64,1999,Team Total,Browns,16,,
0,1999,Rabih Abdullah,Buccaneers,15,Lehigh,4/27/1975
1,1999,Donnie Abraham,Buccaneers,16,East Tennessee St.,10/8/1973
2,1999,Chidi Ahanotu,Buccaneers,16,California,10/11/1970
3,1999,Mike Alstott,Buccaneers,16,Purdue,12/21/1973
4,1999,Reidel Anthony,Buccaneers,13,Florida,10/20/1976
5,1999,Ronde Barber,Buccaneers,16,Virginia,4/7/1975
6,1999,Derrick Brooks,Buccaneers,16,Florida St.,4/18/1973
7,1999,James Cannida,Buccaneers,2,Nevada,1/3/1975
8,1999,Brad Culpepper,Buccaneers,16,Florida,5/8/1969
9,1999,Don Davis,Buccaneers,14,Kansas,12/17/1972
10,1999,John Davis,Buccaneers,16,"Cisco (TX),Emporia St.",5/14/1973
11,1999,Jorge Diaz,Buccaneers,13,Texas A&M-Kingsville,11/15/1973
12,1999,Trent Dilfer,Buccaneers,10,Fresno St.,3/13/1972
13,1999,Kevin Dogins,Buccaneers,11,Texas A&M-Kingsville,12/7/1972
14,1999,Jamie Duncan,Buccaneers,16,Vanderbilt,7/20/1975
15,1999,Warrick Dunn,Buccaneers,15,Florida St.,1/5/1975
16,1999,Bert Emanuel,Buccaneers,11,"UCLA,Rice",10/26/1970
17,1999,Jeff Gooch,Buccaneers,15,Austin Peay St.,10/31/1974
18,1999,Martin Gramatica,Buccaneers,16,Kansas St.,11/27/1975
19,1999,Jacquez Green,Buccaneers,16,Florida,1/15/1976
20,1999,Paul Gruber,Buccaneers,16,Wisconsin,2/24/1965
21,1999,Patrick Hape,Buccaneers,15,Alabama,6/6/1974
22,1999,George Hegamin,Buccaneers,1,North Carolina St.,2/14/1973
23,1999,Dexter Jackson,Buccaneers,12,Florida St.,7/28/1977
24,1999,Tyoka Jackson,Buccaneers,6,Penn St.,11/22/1971
25,1999,Marcus Jones,Buccaneers,16,North Carolina,8/15/1973
26,1999,Brian Kelly,Buccaneers,16,USC,1/14/1976
27,1999,Shaun King,Buccaneers,6,Tulane,5/29/1977
28,1999,John Lynch,Buccaneers,16,Stanford,9/25/1971
29,1999,Tony Mayberry,Buccaneers,16,Wake Forest,12/8/1967
30,1999,Fred McAfee,Buccaneers,1,Mississippi Col.,6/20/1968
31,1999,Darnell McDonald,Buccaneers,8,Kansas St.,5/26/1976
32,1999,Anthony McFarland,Buccaneers,14,LSU,12/18/1977
33,1999,John McLaughlin,Buccaneers,12,"Notre Dame,California",11/13/1975
34,1999,Kevin McLeod,Buccaneers,7,Auburn,10/17/1974
35,1999,Frank Middleton,Buccaneers,16,Arizona,10/25/1974
36,1999,Dave Moore,Buccaneers,16,Pittsburgh,11/11/1969
37,1999,Yo Murphy,Buccaneers,7,Idaho,5/11/1973
38,1999,Hardy Nickerson,Buccaneers,16,California,9/1/1965
39,1999,Jason Odom,Buccaneers,3,Florida,3/31/1974
40,1999,Mitch Palmer,Buccaneers,4,Colorado St.,9/2/1973
41,1999,Pete Pierson,Buccaneers,15,Washington,2/4/1971
42,1999,Shelton Quarles,Buccaneers,16,Vanderbilt,9/11/1971
43,1999,Damien Robinson,Buccaneers,16,Iowa,12/22/1973
44,1999,Mark Royals,Buccaneers,16,"Chowan,Appalachian St.",6/22/1965
45,1999,Warren Sapp,Buccaneers,15,Miami (FL),12/19/1972
46,1999,Alshermond Singleton,Buccaneers,15,Temple,8/7/1975
47,1999,Shevin Smith,Buccaneers,16,Florida St.,6/17/1975
48,1999,Morris Unutoa,Buccaneers,12,BYU,3/10/1971
49,1999,Regan Upshaw,Buccaneers,1,California,8/12/1975
50,1999,Eric Vance,Buccaneers,6,Vanderbilt,7/14/1975
51,1999,Todd Washington,Buccaneers,6,Virginia Tech,7/19/1976
52,1999,Steve White,Buccaneers,13,Tennessee,10/25/1973
53,1999,Karl Williams,Buccaneers,13,Texas A&M-Kingsville,4/10/1971
54,1999,Jerry Wunsch,Buccaneers,16,Wisconsin,1/21/1974
55,1999,Floyd Young,Buccaneers,6,Texas A&M-Kingsville,11/23/1975
56,1999,Eric Zeier,Buccaneers,2,Georgia,9/6/1972
