,Year,G,Player,BirthDate,College,From,To,Active,Transactions
25,2015,1,A.J. Francis,5/7/1990,Maryland,College,Dolphins,False,1
26,2015,2,A.J. Francis,5/7/1990,Maryland,Dolphins,Seahawks,False,1
27,2017,6,A.J. Francis,5/7/1990,Maryland,Seahawks,Commanders,False,1
28,2011,15,A.J. Green,7/31/1988,Georgia,College,Bengals,False,1
29,2020,2,A.J. Green,6/9/1998,Oklahoma St.,College,Browns,False,1
30,2021,16,A.J. Green,7/31/1988,Georgia,Bengals,Cardinals,False,1
31,2006,16,A.J. Hawk,1/6/1984,Ohio St.,College,Packers,False,1
32,2015,16,A.J. Hawk,1/6/1984,Ohio St.,Packers,Bengals,False,1
33,2016,1,A.J. Hawk,1/6/1984,Ohio St.,Bengals,Falcons,False,1
34,2016,1,A.J. Hendy,4/8/1993,Maryland,College,Dolphins,False,1
35,2010,2,A.J. Jefferson,4/4/1988,Fresno St.,College,Cardinals,False,1
36,2012,15,A.J. Jefferson,4/4/1988,Fresno St.,Cardinals,Vikings,False,1
37,2012,3,A.J. Jenkins,9/30/1989,Illinois,College,49ers,False,1
38,2013,16,A.J. Jenkins,9/30/1989,Illinois,49ers,Chiefs,False,1
39,2013,16,A.J. Klein,7/30/1991,Iowa St.,College,Panthers,True,1
40,2017,12,A.J. Klein,7/30/1991,Iowa St.,Panthers,Saints,True,1
41,2020,16,A.J. Klein,7/30/1991,Iowa St.,Saints,Bills,True,1
42,2022,2,A.J. Klein,7/30/1991,Iowa St.,Bills,Bears,True,1
43,2022,2,A.J. Klein,7/30/1991,Iowa St.,Bills,Ravens,True,1
44,2022,6,A.J. Klein,7/30/1991,Iowa St.,Bears,Bills,True,1
45,2023,0,A.J. Klein,7/30/1991,Iowa St.,Ravens,Bills,True,1
46,2015,7,A.J. McCarron,9/13/1990,Alabama,College,Bengals,False,1
47,2018,2,A.J. McCarron,9/13/1990,Alabama,Bengals,Raiders,False,1
48,2019,2,A.J. McCarron,9/13/1990,Alabama,Raiders,Texans,False,1
49,2018,16,A.J. Moore,12/15/1995,Mississippi,College,Texans,False,1
50,2022,1,A.J. Moore,12/15/1995,Mississippi,Texans,Titans,False,1
51,2006,2,A.J. Nicholson,6/25/1983,Florida St.,College,Bengals,False,1
52,1999,7,A.J. Ofodile,10/9/1973,Missouri,College,Ravens,False,1
53,2006,11,A.J. Schable,5/18/1984,South Dakota,College,Cardinals,False,1
54,2015,15,A.J. Tarpley,4/30/1992,Stanford,College,Bills,False,1
55,2022,5,A.J. Thomas,9/18/1999,Western Michigan,College,Bears,False,1
56,2012,14,A.Q. Shipley,5/22/1986,Penn St.,College,Colts,False,1
57,2013,16,A.Q. Shipley,5/22/1986,Penn St.,Colts,Ravens,False,1
58,2014,15,A.Q. Shipley,5/22/1986,Penn St.,Ravens,Colts,False,1
59,2015,12,A.Q. Shipley,5/22/1986,Penn St.,Colts,Cardinals,False,1
60,2020,5,A.Q. Shipley,5/22/1986,Penn St.,Cardinals,Buccaneers,False,1
61,2023,0,A.T. Perry,10/26/1999,Wake Forest,College,Saints,True,1
62,2022,8,AJ Arcuri,8/13/1997,Michigan St.,College,Rams,False,1
63,2019,16,AJ Cole III,11/27/1995,North Carolina St.,College,Raiders,False,1
64,2020,11,AJ Dillon,5/2/1998,Boston Col.,College,Packers,False,1
65,2023,2,AJ Finley,9/14/2001,Mississippi,College,Chargers,True,1
66,2021,13,AJ Parker,2/15/1998,Kansas St.,College,Lions,False,1
67,2020,14,AJ Terrell,9/23/1998,Clemson,College,Falcons,False,1
68,2020,1,Aaron Adeoye,8/26/1993,SE Missouri St.,College,Ravens,False,1
69,2021,9,Aaron Banks,9/3/1997,Notre Dame,College,49ers,False,1
70,1999,16,Aaron Beasley,7/7/1973,West Virginia,College,Jaguars,False,1
71,2002,15,Aaron Beasley,7/7/1973,West Virginia,Jaguars,Jets,False,1
72,2004,14,Aaron Beasley,7/7/1973,West Virginia,Jets,Falcons,False,1
73,2010,1,Aaron Berry,6/25/1988,Pittsburgh,College,Lions,False,1
74,2012,7,Aaron Berry,6/25/1988,Pittsburgh,Lions,Jets,False,1
75,2014,1,Aaron Berry,6/25/1988,Pittsburgh,Jets,Browns,False,1
76,2012,16,Aaron Brewer,7/5/1990,San Diego St.,College,Broncos,False,1
77,2016,13,Aaron Brewer,7/5/1990,San Diego St.,Broncos,Cardinals,False,1
78,2020,12,Aaron Brewer,10/28/1997,Texas St.,College,Titans,False,1
79,2000,8,Aaron Brooks,3/24/1976,Virginia,College,Saints,False,1
80,2006,8,Aaron Brooks,3/24/1976,Virginia,Saints,Raiders,False,1
81,2009,15,Aaron Brown,10/10/1985,TCU,College,Lions,False,1
82,2016,16,Aaron Burbridge,12/23/1993,Michigan St.,College,49ers,False,1
83,2014,6,Aaron Colvin,10/2/1991,Oklahoma,College,Jaguars,False,1
84,2018,10,Aaron Colvin,10/2/1991,Oklahoma,Jaguars,Texans,False,1
85,2019,1,Aaron Colvin,10/2/1991,Oklahoma,Commanders,Texans,False,1
86,2019,6,Aaron Colvin,10/2/1991,Oklahoma,Texans,Commanders,False,1
87,1999,13,Aaron Craver,12/18/1968,Fresno St.,College,Saints,False,1
88,2020,1,Aaron Crawford,11/4/1997,North Carolina,College,Ravens,False,1
89,2009,14,Aaron Curry,4/6/1986,Wake Forest,College,Seahawks,False,1
90,2011,5,Aaron Curry,4/6/1986,Wake Forest,Raiders,Seahawks,False,1
91,2011,11,Aaron Curry,4/6/1986,Wake Forest,Seahawks,Raiders,False,1
92,2012,2,Aaron Curry,4/6/1986,Wake Forest,Seahawks,Raiders,False,1
93,2013,12,Aaron Dobson,7/23/1991,Marshall,College,Patriots,False,1
94,2014,16,Aaron Donald,5/23/1991,Pittsburgh,College,Rams,False,1
95,2003,16,Aaron Elling,5/31/1978,"George Fox,Wyoming",College,Vikings,False,1
96,2004,1,Aaron Elling,5/31/1978,"George Fox,Wyoming",Vikings,Titans,False,1
97,2004,7,Aaron Elling,5/31/1978,"George Fox,Wyoming",Titans,Vikings,False,1
98,2005,9,Aaron Elling,5/31/1978,"George Fox,Wyoming",Vikings,Ravens,False,1
99,2000,3,Aaron Fields,1/9/1976,"Savannah St.,Troy",College,Cowboys,False,1
100,2005,11,Aaron Francisco,7/5/1983,BYU,College,Cardinals,False,1
101,2009,10,Aaron Francisco,7/5/1983,BYU,Cardinals,Colts,False,1
102,2021,1,Aaron Fuller,9/30/1997,Washington,College,Seahawks,False,1
103,2000,10,Aaron Gibson,9/27/1977,Wisconsin,College,Lions,False,1
104,2001,1,Aaron Gibson,9/27/1977,Wisconsin,Lions,Cowboys,False,1
105,2001,6,Aaron Gibson,9/27/1977,Wisconsin,Cowboys,Lions,False,1
106,2002,1,Aaron Gibson,9/27/1977,Wisconsin,Lions,Cowboys,False,1
107,2003,16,Aaron Gibson,9/27/1977,Wisconsin,Cowboys,Bears,False,1
108,1999,16,Aaron Glenn,7/16/1972,Texas A&M,College,Jets,False,1
109,2002,16,Aaron Glenn,7/16/1972,Texas A&M,Jets,Texans,False,1
110,2005,16,Aaron Glenn,7/16/1972,Texas A&M,Texans,Cowboys,False,1
111,2007,5,Aaron Glenn,7/16/1972,Texas A&M,Cowboys,Jaguars,False,1
112,2008,4,Aaron Glenn,7/16/1972,Texas A&M,Jaguars,Saints,False,1
113,1999,16,Aaron Graham,5/22/1973,Nebraska,College,Cardinals,False,1
114,2001,14,Aaron Graham,5/22/1973,Nebraska,Cardinals,Raiders,False,1
115,2002,16,Aaron Graham,5/22/1973,Nebraska,Raiders,Titans,False,1
116,2016,2,Aaron Green,10/15/1992,TCU,College,Rams,False,1
117,2016,1,Aaron Grymes,3/1/1991,Idaho,College,Eagles,False,1
118,2007,9,Aaron Halterman,3/31/1982,Indiana,College,Dolphins,False,1
119,2010,14,Aaron Hernandez,11/6/1989,Florida,College,Patriots,False,1
120,2017,12,Aaron Jones,12/2/1994,Texas-El Paso,College,Packers,False,1
121,2002,12,Aaron Kampman,11/30/1979,Iowa,College,Packers,False,1
122,2010,8,Aaron Kampman,11/30/1979,Iowa,Packers,Jaguars,False,1
123,2000,8,Aaron Koch,2/21/1978,Oregon St.,College,Jaguars,False,1
124,2014,16,Aaron Lynch,2/8/1993,South Florida,College,49ers,False,1
125,2018,13,Aaron Lynch,2/8/1993,South Florida,49ers,Bears,False,1
126,2020,8,Aaron Lynch,2/8/1993,South Florida,Bears,Jaguars,False,1
127,2009,16,Aaron Maybin,4/6/1988,Penn St.,College,Bills,False,1
128,2011,13,Aaron Maybin,4/6/1988,Penn St.,Bills,Jets,False,1
129,2006,7,Aaron Merz,8/27/1983,California,College,Bills,False,1
130,2003,7,Aaron Moorehead,11/5/1980,Illinois,College,Colts,False,1
131,2010,7,Aaron Morgan,12/30/1988,La-Monroe,College,Jaguars,False,1
132,2012,4,Aaron Morgan,12/30/1988,La-Monroe,Buccaneers,Jaguars,False,1
133,2012,7,Aaron Morgan,12/30/1988,La-Monroe,Jaguars,Buccaneers,False,1
134,2017,1,Aaron Neary,11/15/1992,East. Washington,College,Rams,False,1
135,2021,1,Aaron Parker,5/21/1998,Rhode Island,College,Panthers,False,1
136,2021,12,Aaron Patrick,12/21/1996,East. Kentucky,College,Broncos,False,1
137,2010,2,Aaron Pettrey,6/17/1986,Ohio St.,College,Bengals,False,1
138,1999,10,Aaron Pierce,9/6/1969,Washington,College,Ravens,False,1
139,2015,15,Aaron Ripkowski,12/20/1992,Oklahoma,College,Packers,False,1
140,2021,9,Aaron Robinson,11/10/1997,"Alabama,Central Florida",College,Giants,False,1
141,2023,0,Aaron Robinson (PUP),11/10/1997,"Alabama,Central Florida",College,Giants,True,1
142,2005,3,Aaron Rodgers,12/2/1983,"Butte JC (CA),California",College,Packers,True,1
143,2023,1,Aaron Rodgers,12/2/1983,"Butte JC (CA),California",Packers,Jets,True,1
144,2007,15,Aaron Ross,9/15/1982,Texas,College,Giants,False,1
145,2012,14,Aaron Ross,9/15/1982,Texas,Giants,Jaguars,False,1
146,2013,4,Aaron Ross,9/15/1982,Texas,Jaguars,Giants,False,1
147,2007,11,Aaron Rouse,1/8/1984,Virginia Tech,College,Packers,False,1
148,2009,2,Aaron Rouse,1/8/1984,Virginia Tech,Giants,Packers,False,1
149,2009,14,Aaron Rouse,1/8/1984,Virginia Tech,Packers,Giants,False,1
150,2001,16,Aaron Schobel,9/1/1977,TCU,College,Bills,False,1
151,2000,15,Aaron Shea,12/5/1976,Michigan,College,Browns,False,1
152,1999,6,Aaron Smith,4/19/1976,Northern Colorado,College,Steelers,False,1
153,2000,10,Aaron Stecker,11/13/1975,"Wisconsin,Western Illinois",College,Buccaneers,False,1
154,2004,16,Aaron Stecker,11/13/1975,"Wisconsin,Western Illinois",Buccaneers,Saints,False,1
155,2009,9,Aaron Stecker,11/13/1975,"Wisconsin,Western Illinois",Saints,Falcons,False,1
156,2018,1,Aaron Stinnie,2/18/1994,James Madison,College,Titans,False,1
157,2019,2,Aaron Stinnie,2/18/1994,James Madison,Titans,Buccaneers,False,1
158,2019,3,Aaron Stinnie,2/18/1994,James Madison,Buccaneers,Titans,False,1
159,2020,6,Aaron Stinnie,2/18/1994,James Madison,Titans,Buccaneers,False,1
160,1999,14,Aaron Taylor,11/14/1972,Notre Dame,College,Chargers,False,1
161,2003,16,Aaron Walker,3/14/1980,Florida,College,49ers,False,1
162,2006,16,Aaron Walker,3/14/1980,Florida,49ers,Rams,False,1
163,2016,10,Aaron Wallace,7/8/1993,UCLA,College,Titans,False,1
164,2011,9,Aaron Williams,4/23/1990,Texas,College,Bills,False,1
165,2006,8,Abdul Hodge,9/9/1982,Iowa,College,Packers,False,1
166,2008,6,Abdul Hodge,9/9/1982,Iowa,Packers,Bengals,False,1
167,2010,5,Abdul Hodge,9/9/1982,Iowa,Bengals,Panthers,False,1
168,2019,6,Abdullah Anderson,1/24/1996,Bucknell,College,Bears,False,1
169,2020,1,Abdullah Anderson,1/24/1996,Bucknell,Bears,Vikings,False,1
170,2021,3,Abdullah Anderson,1/24/1996,Bucknell,Vikings,Packers,False,1
171,2022,16,Abdullah Anderson,1/24/1996,Bucknell,Packers,Falcons,False,1
172,2022,16,Abraham Lucas,10/25/1998,Washington St.,College,Seahawks,False,1
173,2006,15,Abram Elam,10/15/1981,"Notre Dame,Kent St.",College,Cowboys,False,1
174,2007,13,Abram Elam,10/15/1981,"Notre Dame,Kent St.",Cowboys,Jets,False,1
175,2009,16,Abram Elam,10/15/1981,"Notre Dame,Kent St.",Jets,Browns,False,1
176,2011,16,Abram Elam,10/15/1981,"Notre Dame,Kent St.",Browns,Cowboys,False,1
177,2012,12,Abram Elam,10/15/1981,"Notre Dame,Kent St.",Cowboys,Chiefs,False,1
178,2013,8,Abry Jones,9/8/1991,Georgia,College,Jaguars,False,1
179,2013,15,Ace Sanders,11/11/1991,South Carolina,College,Jaguars,False,1
180,2016,7,Adairius Barnes,4/30/1994,Louisiana Tech,College,Lions,False,1
181,2000,3,Adalius Thomas,8/18/1977,Southern Miss,College,Ravens,False,1
182,2007,16,Adalius Thomas,8/18/1977,Southern Miss,Ravens,Patriots,False,1
183,2001,13,Adam Archuleta,11/27/1977,Arizona St.,College,Rams,False,1
184,2006,16,Adam Archuleta,11/27/1977,Arizona St.,Rams,Commanders,False,1
185,2007,15,Adam Archuleta,11/27/1977,Arizona St.,Commanders,Bears,False,1
186,2005,16,Adam Bergen,9/3/1983,Lehigh,College,Cardinals,False,1
187,2017,3,Adam Bighill,10/16/1988,Central Washington,College,Saints,False,1
188,2017,1,Adam Bisnowaty,12/14/1993,Pittsburgh,College,Giants,False,1
189,2017,16,Adam Butler,4/12/1994,Vanderbilt,College,Patriots,True,1
190,2021,17,Adam Butler,4/12/1994,Vanderbilt,Patriots,Dolphins,True,1
191,2023,6,Adam Butler,4/12/1994,Vanderbilt,Dolphins,Raiders,True,1
192,2007,16,Adam Carriker,5/6/1984,Nebraska,College,Rams,False,1
193,2010,16,Adam Carriker,5/6/1984,Nebraska,Rams,Commanders,False,1
194,2013,13,Adam Gettis,12/9/1988,Iowa,College,Commanders,False,1
195,2015,1,Adam Gettis,12/9/1988,Iowa,Commanders,Giants,False,1
196,2004,13,Adam Goldberg,8/12/1980,Wyoming,College,Vikings,False,1
197,2006,15,Adam Goldberg,8/12/1980,Wyoming,Vikings,Rams,False,1
198,2016,16,Adam Gotsis,9/23/1992,Georgia Tech,College,Broncos,False,1
199,2020,16,Adam Gotsis,9/23/1992,Georgia Tech,Broncos,Jaguars,False,1
200,2002,4,Adam Haayer,2/22/1977,Minnesota,College,Vikings,False,1
201,2005,12,Adam Haayer,2/22/1977,Minnesota,Vikings,Cardinals,False,1
202,2007,12,Adam Hayward,6/23/1984,Portland St.,College,Buccaneers,False,1
203,2014,11,Adam Hayward,6/23/1984,Portland St.,Buccaneers,Commanders,False,1
204,2015,13,Adam Humphries,6/24/1993,Clemson,College,Buccaneers,False,1
205,2019,12,Adam Humphries,6/24/1993,Clemson,Buccaneers,Titans,False,1
206,2021,17,Adam Humphries,6/24/1993,Clemson,Titans,Commanders,False,1
207,2006,15,Adam Jennings,11/17/1982,Fresno St.,College,Falcons,False,1
208,2008,7,Adam Jennings,11/17/1982,Fresno St.,Falcons,Lions,False,1
209,2005,15,Adam Jones,9/30/1983,West Virginia,College,Titans,False,1
210,2008,9,Adam Jones,9/30/1983,West Virginia,Titans,Cowboys,False,1
211,2010,5,Adam Jones,9/30/1983,West Virginia,Cowboys,Bengals,False,1
212,2018,7,Adam Jones,9/30/1983,West Virginia,Bengals,Broncos,False,1
213,2007,0,Adam Koets,1/7/1984,Oregon St.,College,Giants,False,1
214,1999,16,Adam Meadows,1/25/1974,Georgia,College,Colts,False,1
215,2006,3,Adam Meadows,1/25/1974,Georgia,Colts,Broncos,False,1
216,2017,1,Adam Pankey,2/2/1994,West Virginia,College,Packers,False,1
217,2019,2,Adam Pankey,2/2/1994,West Virginia,Packers,Dolphins,False,1
218,2007,16,Adam Podlesh,8/11/1983,Maryland,College,Jaguars,False,1
219,2011,16,Adam Podlesh,8/11/1983,Maryland,Jaguars,Bears,False,1
220,2021,7,Adam Prentice,1/16/1997,South Carolina,College,Saints,False,1
221,2017,4,Adam Redmond,5/19/1993,Harvard,College,Colts,False,1
222,2018,10,Adam Redmond,5/19/1993,Harvard,Colts,Cowboys,False,1
223,1999,3,Adam Schreiber,2/20/1962,Texas,College,Falcons,False,1
224,2005,4,Adam Seward,6/15/1982,UNLV,College,Panthers,False,1
225,2009,3,Adam Seward,6/15/1982,UNLV,Panthers,Jaguars,False,1
226,2017,13,Adam Shaheen,10/24/1994,Ashland,College,Bears,False,1
227,2020,16,Adam Shaheen,10/24/1994,Ashland,Bears,Dolphins,False,1
228,2005,16,Adam Snyder,1/30/1982,Oregon,College,49ers,False,1
229,2012,14,Adam Snyder,1/30/1982,Oregon,49ers,Cardinals,False,1
230,2013,16,Adam Snyder,1/30/1982,Oregon,Cardinals,49ers,False,1
231,2014,4,Adam Snyder,1/30/1982,Oregon,49ers,Giants,False,1
232,2005,7,Adam Terry,9/1/1982,Syracuse,College,Ravens,False,1
233,2010,2,Adam Terry,9/1/1982,Syracuse,Ravens,Chargers,False,1
234,2014,16,Adam Thielen,8/22/1990,Minnesota St.,College,Vikings,True,1
235,2023,6,Adam Thielen,8/22/1990,Minnesota St.,Vikings,Panthers,True,1
236,1999,16,Adam Timmerman,8/14/1971,South Dakota St.,College,Rams,False,1
237,2020,15,Adam Trautman,2/5/1997,Dayton,College,Saints,True,1
238,2023,6,Adam Trautman,2/5/1997,Dayton,Saints,Broncos,True,1
239,1999,16,Adam Treu,6/24/1974,Nebraska,College,Raiders,False,1
240,1999,16,Adam Vinatieri,12/28/1972,South Dakota St.,College,Patriots,False,1
241,2006,13,Adam Vinatieri,12/28/1972,South Dakota St.,Patriots,Colts,False,1
242,2014,10,Adarius Taylor,9/21/1990,"East. Arizona,Florida Atlantic",College,Panthers,False,1
243,2015,5,Adarius Taylor,9/21/1990,"East. Arizona,Florida Atlantic",Panthers,Buccaneers,False,1
244,2019,15,Adarius Taylor,9/21/1990,"East. Arizona,Florida Atlantic",Buccaneers,Browns,False,1
245,2020,13,Adarius Taylor,9/21/1990,"East. Arizona,Florida Atlantic",Browns,Panthers,False,1
246,2003,16,Ade Jimoh,4/18/1980,Utah St.,College,Commanders,False,1
247,2007,6,Ade Jimoh,4/18/1980,Utah St.,Commanders,Bears,False,1
248,2021,16,Adetokunbo Ogundeji,10/9/1998,Notre Dame,College,Falcons,False,1
249,2023,2,Adetomiwa Adebawore,3/4/2001,Northwestern,College,Colts,True,1
250,2001,7,Adewale Ogunleye,8/9/1977,Indiana,College,Dolphins,False,1
251,2004,12,Adewale Ogunleye,8/9/1977,Indiana,Dolphins,Bears,False,1
252,2010,4,Adewale Ogunleye,8/9/1977,Indiana,Bears,Texans,False,1
253,2012,1,Adewale Ojomo,11/11/1988,Miami (FL),College,Giants,False,1
254,2004,4,Adimchinobe Echemandu,11/21/1980,California,College,Browns,False,1
255,2005,2,Adimchinobe Echemandu,11/21/1980,California,Browns,Vikings,False,1
256,2006,4,Adimchinobe Echemandu,11/21/1980,California,Vikings,Raiders,False,1
257,2007,7,Adimchinobe Echemandu,11/21/1980,California,Raiders,Texans,False,1
258,2016,15,Adolphus Washington,11/24/1994,Ohio St.,College,Bills,False,1
259,2018,1,Adolphus Washington,11/24/1994,Ohio St.,Bengals,Bills,False,1
260,2018,4,Adolphus Washington,11/24/1994,Ohio St.,Bills,Bengals,False,1
261,2018,9,Adonis Alexander,11/7/1996,Virginia Tech,College,Commanders,False,1
262,2017,16,Adoree' Jackson,9/18/1995,USC,College,Titans,False,1
263,2021,13,Adoree' Jackson,9/18/1995,USC,Titans,Giants,False,1
264,2015,16,Adrian Amos,4/29/1993,Penn St.,College,Bears,True,1
265,2019,16,Adrian Amos,4/29/1993,Penn St.,Bears,Packers,True,1
266,2023,6,Adrian Amos,4/29/1993,Penn St.,Packers,Jets,True,1
267,2010,1,Adrian Arrington,11/7/1985,Michigan,College,Saints,False,1
268,2005,5,Adrian Awasom,10/25/1983,North Texas,College,Giants,False,1
269,2011,1,Adrian Awasom,10/25/1983,North Texas,Giants,Vikings,False,1
270,2011,16,Adrian Clayborn,7/6/1988,Iowa,College,Buccaneers,False,1
271,2015,16,Adrian Clayborn,7/6/1988,Iowa,Buccaneers,Falcons,False,1
272,2018,14,Adrian Clayborn,7/6/1988,Iowa,Falcons,Patriots,False,1
273,2019,15,Adrian Clayborn,7/6/1988,Iowa,Patriots,Falcons,False,1
274,2020,15,Adrian Clayborn,7/6/1988,Iowa,Falcons,Browns,False,1
275,2017,14,Adrian Colbert,10/6/1993,Miami (FL),College,49ers,False,1
276,2019,6,Adrian Colbert,10/6/1993,Miami (FL),49ers,Dolphins,False,1
277,2020,6,Adrian Colbert,10/6/1993,Miami (FL),Dolphins,Giants,False,1
278,2021,2,Adrian Colbert,10/6/1993,Miami (FL),Giants,Browns,False,1
279,2021,4,Adrian Colbert,10/6/1993,Miami (FL),Browns,Jets,False,1
280,2022,2,Adrian Colbert,10/6/1993,Miami (FL),Jets,Bears,False,1
281,2000,14,Adrian Dingle,6/25/1977,Clemson,College,Chargers,False,1
282,2012,2,Adrian Hamilton,11/29/1987,Prairie View A&M,College,Ravens,False,1
283,2004,12,Adrian Jones,6/10/1981,Kansas,College,Jets,False,1
284,2008,11,Adrian Jones,6/10/1981,Kansas,Jets,Chiefs,False,1
285,2020,1,Adrian Killins,1/2/1998,Central Florida,College,Eagles,False,1
286,2000,5,Adrian Klemm,5/21/1977,Hawaii,College,Patriots,False,1
287,2005,16,Adrian Klemm,5/21/1977,Hawaii,Patriots,Packers,False,1
288,2003,11,Adrian Madise,3/23/1980,TCU,College,Broncos,False,1
289,2004,4,Adrian Mayes,11/17/1980,LSU,College,Cardinals,False,1
290,2011,2,Adrian Moten,4/22/1988,Maryland,Colts,Seahawks,False,1
291,2011,10,Adrian Moten,4/22/1988,Maryland,College,Colts,False,1
292,2012,1,Adrian Moten,4/22/1988,Maryland,Seahawks,Eagles,False,1
293,1999,16,Adrian Murrell,10/16/1970,West Virginia,College,Cardinals,False,1
294,2000,15,Adrian Murrell,10/16/1970,West Virginia,Cardinals,Commanders,False,1
295,2003,3,Adrian Murrell,10/16/1970,West Virginia,Commanders,Cowboys,False,1
296,2002,9,Adrian Peterson,7/1/1979,Georgia Southern,College,Bears,False,1
297,2007,14,Adrian Peterson,3/21/1985,Oklahoma,College,Vikings,False,1
298,2017,4,Adrian Peterson,3/21/1985,Oklahoma,Cardinals,Saints,False,1
299,2017,6,Adrian Peterson,3/21/1985,Oklahoma,Vikings,Cardinals,False,1
300,2018,16,Adrian Peterson,3/21/1985,Oklahoma,Saints,Commanders,False,1
301,2020,16,Adrian Peterson,3/21/1985,Oklahoma,Commanders,Lions,False,1
302,2021,1,Adrian Peterson,3/21/1985,Oklahoma,Lions,Seahawks,False,1
303,2021,3,Adrian Peterson,3/21/1985,Oklahoma,Seahawks,Titans,False,1
304,2014,3,Adrian Phillips,3/28/1992,Texas,College,Chargers,False,1
305,2020,16,Adrian Phillips,3/28/1992,Texas,Chargers,Patriots,False,1
306,2012,12,Adrian Robinson,11/21/1989,Temple,College,Steelers,False,1
307,2013,2,Adrian Robinson,11/21/1989,Temple,Broncos,Chargers,False,1
308,2013,6,Adrian Robinson,11/21/1989,Temple,Steelers,Broncos,False,1
309,1999,16,Adrian Ross,2/19/1975,Colorado St.,College,Bengals,False,1
310,2012,16,Adrian Tracy,4/6/1987,William & Mary,College,Giants,False,1
311,2001,16,Adrian Wilson,10/12/1979,North Carolina St.,College,Cardinals,False,1
312,2005,14,Adrien Clarke,3/26/1981,Ohio St.,College,Eagles,False,1
313,2007,14,Adrien Clarke,3/26/1981,Ohio St.,Eagles,Jets,False,1
314,2012,2,Adrien Robinson,9/23/1988,Cincinnati,College,Giants,False,1
315,1999,16,Aeneas Williams,1/29/1968,Southern,College,Cardinals,False,1
316,2001,16,Aeneas Williams,1/29/1968,Southern,Cardinals,Rams,False,1
317,2017,12,Ahkello Witherspoon,3/21/1995,Colorado,College,49ers,True,1
318,2021,9,Ahkello Witherspoon,3/21/1995,Colorado,49ers,Steelers,True,1
319,2023,6,Ahkello Witherspoon,3/21/1995,Colorado,Steelers,Rams,True,1
320,2011,4,Ahmad Black,12/12/1989,Florida,College,Buccaneers,False,1
321,2007,12,Ahmad Bradshaw,3/19/1986,Marshall,College,Giants,False,1
322,2013,3,Ahmad Bradshaw,3/19/1986,Marshall,Giants,Colts,False,1
323,2002,6,Ahmad Brooks,3/13/1980,Texas,College,Bills,False,1
324,2006,11,Ahmad Brooks,3/14/1984,Virginia,College,Bengals,False,1
325,2009,14,Ahmad Brooks,3/14/1984,Virginia,Bengals,49ers,False,1
326,2017,12,Ahmad Brooks,3/14/1984,Virginia,49ers,Packers,False,1
327,2004,14,Ahmad Carroll,8/3/1983,Arkansas,College,Packers,False,1
328,2006,1,Ahmad Carroll,8/3/1983,Arkansas,Packers,Jaguars,False,1
329,2006,4,Ahmad Carroll,8/3/1983,Arkansas,Jaguars,Packers,False,1
330,2008,16,Ahmad Carroll,8/3/1983,Arkansas,Packers,Jets,False,1
331,2014,3,Ahmad Dixon,9/5/1991,Baylor,Bears,Dolphins,False,1
332,2014,5,Ahmad Dixon,9/5/1991,Baylor,College,Bears,False,1
333,2019,3,Ahmad Gooden,10/27/1995,Samford,College,Broncos,False,1
334,2001,2,Ahmad Merritt,2/5/1977,Wisconsin,College,Bears,False,1
335,2018,2,Ahmad Thomas,12/15/1994,Oklahoma,College,Colts,False,1
