SOURCE,Rank,Player,Weight,Height,40YD,AVG POS RANK,AVG OVR RANK,Rating,Summary
NFLDraftBuzz,12,James Pearce Jr.,243,6-5,4.47,5.0,20.9,88.3,Pearce profiles as an immediate impact pass-rush specialist with the ceiling to develop into a complete three-down edge defender. His elite...
NFLDraftBuzz,13,Matthew Golden,195,6-0,4.29,5.0,26.1,88.2,NFL offenses will find an immediate deep threat in Matthew Golden who brings far more than just straight-line speed to the table. His...
NFLDraftBuzz,14,Jahdae Barron,200,5-11,4.39,6.0,24.4,88.1,"Put on the Georgia tape and you'll see exactly why Barron belongs in the first round - he's disrupting timing routes in the slot one play,..."
NFLDraftBuzz,15,Shemar Stewart,290,6-6,4.59,4.0,20.3,88.0,The film shows a defensive force tailor-made for an aggressive 4-3 system where he can pin his ears back and attack upfield. Stewart's...
NFLDraftBuzz,16,Tyler Warren,257,6-6,4.68,1.0,11.6,87.9,"Having spent countless hours studying Warren's tape, his receiving ability alone warrants first-round consideration. The former..."
NFLDraftBuzz,17,Josh Simmons,310,6-5,5.15,4.0,25.5,87.9,Simmons isn't just a good athlete who can move in space - he's a tone-setter who brings legitimate power and finishing ability to pair with...
NFLDraftBuzz,18,Mykel Williams,265,6-5,4.77,3.0,19.7,87.7,Williams presents one of the more fascinating evaluations in this class - a prospect whose film shows flashes of dominance but also...
NFLDraftBuzz,19,Nick Emmanwori,227,6-3,4.38,5.0,23.6,87.7,"Emmanwori will likely be an immediate impact player at the next level, particularly for defensive coordinators creative enough to maximize..."
NFLDraftBuzz,20,Walter Nolen,305,6-3,4.95,8.0,27.9,87.7,The tape shows a defender ready to make an immediate impact as a disruptive three-technique in an attacking front. Nolen's combination of...
NFLDraftBuzz,21,Kenneth Grant,339,6-3,5.11,7.0,22.7,87.6,Grant's going to wreck shop in the right system. The film shows a defender who already dominates one-on-one blocks and has the raw tools to...
NFLDraftBuzz,22,Luther Burden III,208,5-11,4.41,3.0,22.7,87.5,The NFL projection here is fascinating. Burden brings a skill set reminiscent of rookie-year Kadarius Toney but with much more polish and...
NFLDraftBuzz,23,Jalon Walker,245,6-2,4.5,1.0,18.6,87.4,Walker's explosiveness off the edge and development as an off-ball linebacker jump off the screen. His combination of twitch and power...
NFLDraftBuzz,24,Colston Loveland,245,6-5,4.7,2.0,20.1,87.4,Loveland projects as a dynamic receiving tight end who can create mismatches from multiple alignments in the passing game. His combination...
NFLDraftBuzz,25,Shavon Revel Jr.,193,6-3,4.4,7.0,33.9,87.4,"The NFL projection for Revel is fascinating - you're betting on traits and character as much as production. His combination of size, speed,..."
NFLDraftBuzz,26,Malaki Starks,205,6-1,4.5,3.0,16.9,87.3,The tape reveals a defensive prospect whose elite run-defense mastery masks some limitations in coverage. While Starks flashes in zone and...
NFLDraftBuzz,27,Mike Green,248,6-4,4.57,6.0,22.4,87.3,Green's calling card as an NFL edge defender will be his explosive first step and sophisticated rush plan that keeps tackles off balance....
NFLDraftBuzz,28,Emeka Egbuka,205,6-1,4.45,4.0,25.3,87.3,"Egbuka's elite straight-line speed demands respect from defensive backs, but it's his technical polish that will determine his NFL..."
NFLDraftBuzz,29,Derrick Harmon,310,6-5,4.95,9.0,31.7,87.3,"After studying every snap of Harmon's 2024 campaign, the tape reveals a defensive tackle with legitimate NFL starter potential. His..."
NFLDraftBuzz,30,Omarion Hampton,220,6-0,4.46,2.0,31.8,87.3,"Hampton profiles as an immediate impact player who could step into a featured role in a downhill rushing attack. His combination of size,..."
NFLDraftBuzz,31,Nic Scourton,285,6-4,4.7,10.0,35.4,87.3,"Scourton's blend of size, explosiveness, and technical refinement projects him as an immediate contributor in a 4-3 defensive front where..."
NFLDraftBuzz,32,Jack Sawyer,260,6-5,4.6,17.0,54.6,87.3,Sawyer projects as an immediate contributor in base defensive packages with the potential to develop into an every-down player. His power...
NFLDraftBuzz,33,Grey Zabel,305,6-6,5.3,8.0,37.5,87.2,"Zabel's calling card jumps off the screen - he's a technician who brings controlled violence to every snap. The footwork, hip drive, and..."
NFLDraftBuzz,34,Princely Umanmielen,255,6-4,4.7,20.0,60.4,87.2,The film shows a pass rusher who operates best with his hand in the dirt in wide alignments where he can maximize his length and burst. His...
NFLDraftBuzz,35,Wyatt Milum,317,6-6,5.27,14.0,68.9,87.2,"Looking ahead to the NFL, Milum projects as a high-floor prospect who could contribute immediately at either tackle spot while offering..."
NFLDraftBuzz,36,Josh Conerly Jr.,315,6-4,5.05,7.0,34.8,87.1,Put on the Washington tape and you'll see everything you need to know about Conerly's NFL readiness. Watch him mirror that explosive edge...
NFLDraftBuzz,37,Jihaad Campbell,244,6-3,4.52,3.0,23.5,87.0,"After extensive film study of Campbell's 2024 season, his impact potential jumps off the screen. His usage at Alabama - particularly in..."
NFLDraftBuzz,38,Tyler Booker,325,6-5,5.38,5.0,27.0,87.0,"The physical tools and foundation are in place for Booker to make an immediate impact at the NFL level. His massive frame, natural power,..."
NFLDraftBuzz,39,Tyleik Williams,327,6-3,4.68,11.0,39.7,87.0,The team that drafts Williams is getting a rare athlete for the position who brings legitimate three-down potential if his pass rush...
NFLDraftBuzz,40,T.J. Sanders,290,6-4,4.95,13.0,51.5,87.0,Sanders shows intriguing potential as an interior pass rusher with legitimate juice off the ball. His performance against Georgia was...
NFLDraftBuzz,41,Jaxson Dart,225,6-2,4.85,5.0,62.0,87.0,"The tape shows two distinct versions of Jaxson Dart. In rhythm, he's a smooth operator who can carve up defenses with his quick release and..."
NFLDraftBuzz,42,Benjamin Morrison,190,6-0,4.39,11.0,46.9,86.7,"Looking ahead to his NFL projection, Morrison profiles as a scheme-versatile corner who can step in and contribute immediately in any..."
NFLDraftBuzz,43,Xavier Watts,203,6-0,4.56,9.0,44.6,86.6,"Looking ahead to the NFL, Watts profiles as an immediate impact player whose versatility will have defensive coordinators salivating. His..."
NFLDraftBuzz,44,Landon Jackson,280,6-7,4.68,15.0,52.9,86.6,Jackson projects as a starting base end in an even front or strong-side defensive end in a 3-4 scheme where his run-game dominance and...
NFLDraftBuzz,45,Jonah Savaiinaea,336,6-5,4.95,11.0,54.7,86.5,"The tape shows a player whose future in the NFL lies inside at guard, where his massive frame and power-based skill set can be maximized..."
NFLDraftBuzz,46,Aireontae Ersery,330,6-6,5.01,10.0,45.5,86.4,"In a league that increasingly values mammoth tackles who can hold up in pass protection while still moving bodies in the run game, Ersery..."
NFLDraftBuzz,47,Kaleb Johnson,225,6-0,4.57,4.0,51.1,86.4,"Johnson has legitimate feature back potential in a gap/power scheme where his combination of vision, decisive cuts, and finishing power..."
NFLDraftBuzz,48,JT Tuimoloau,269,6-5,4.62,16.0,53.1,86.3,The tape shows a defender whose elite straight-line athleticism doesn't fully translate to his pass rush arsenal yet. While his closing...
NFLDraftBuzz,49,Trey Amos,190,6-1,4.43,13.0,51.8,86.2,The film shows a boundary corner with genuine NFL starter traits and scheme versatility that will have defensive coordinators salivating....
NFLDraftBuzz,50,Marcus Mbow,300,6-5,5.25,12.0,60.2,86.2,"Looking ahead, Mbow projects as a fascinating evaluation for NFL teams. His athletic profile and versatility scream modern NFL offensive..."
NFLDraftBuzz,51,Josaiah Stewart,245,6-1,4.7,23.0,67.9,86.2,I'm convinced he's going to make defensive coordinators look smart on passing downs from day one. His USC game was a masterclass in pass...
NFLDraftBuzz,52,Harold Fannin Jr.,230,6-4,4.71,5.0,73.6,86.2,Fannin projects as an immediate impact receiver at the next level who can create mismatches from multiple alignments. His combination of...
NFLDraftBuzz,53,Donovan Ezeiruaku,247,6-2,4.62,12.0,42.3,86.1,Ezeiruaku profiles as a designated pass rush specialist who will make his initial impact on passing downs while developing his all-around...
NFLDraftBuzz,54,TreVeyon Henderson,208,5-10,4.43,3.0,49.3,86.0,What jumps off the screen is his masterful manipulation of space in zone schemes. The footwork and vision he displayed against Penn State...
NFLDraftBuzz,55,Alfred Collins,320,6-5,4.95,14.0,52.0,86.0,The film doesn't lie - Collins dominates the run game with rare power and processing speed that will translate immediately to the NFL...
NFLDraftBuzz,56,Azareye'h Thomas,198,6-2,4.58,12.0,50.4,85.9,"Put on the tape and you'll see why Thomas has scouts intrigued - he's got some serious juice in that 6'2"" frame. Shows up ready for a fight..."
NFLDraftBuzz,57,Jayden Higgins,215,6-4,4.47,7.0,57.8,85.9,"Higgins is a plug-and-play receiver whose game tape absolutely pops. While his forty might raise eyebrows, the film shows a savvy route..."
NFLDraftBuzz,58,Bradyn Swinson,250,6-4,4.8,19.0,60.0,85.9,"When it comes to getting after the quarterback, Swinson shows special traits that will have NFL teams salivating. His explosive get-off and..."
NFLDraftBuzz,59,Demetrius Knight Jr.,245,6-2,4.58,6.0,71.0,85.9,Knight's film reveals a classic downhill MIKE linebacker with elite straight-line speed and natural blitz timing. His explosive first...
NFLDraftBuzz,60,Tre Harris,210,6-3,4.54,6.0,55.7,85.8,The film shows a boundary receiver with true X potential who can step into an NFL offense and win immediately on third downs and in the red...
NFLDraftBuzz,61,Jaylin Noel,200,5-11,4.39,10.0,67.4,85.8,"Noel has ""dangerous weapon"" written all over him as a vertical slot receiver with deep-ball tracking ability that jumps off the film. The..."
NFLDraftBuzz,62,Dylan Sampson,201,5-11,4.42,6.0,72.0,85.7,The tape shows a dynamic runner whose success transcends scheme - Sampson's elite acceleration and precise footwork made him lethal in both...
NFLDraftBuzz,63,Jalen Royals,205,6-0,4.42,12.0,71.7,85.6,Royals is going to make some offensive coordinator very happy as a field-stretcher who can house it from anywhere on the field. After...
NFLDraftBuzz,64,Donovan Jackson,320,6-4,5.2,9.0,39.3,85.5,Jackson shows the makings of a capable NFL offensive lineman who could develop into a starter with proper coaching. His performance against...
NFLDraftBuzz,65,Quinshon Judkins,219,6-0,4.48,5.0,61.3,85.5,Judkins projects as an immediate impact player in a gap-heavy run scheme where his vision and power running style will shine. His ability...
NFLDraftBuzz,66,Jack Bech,215,6-2,4.55,9.0,62.6,85.5,Bech's film shows a receiver who can step in and contribute from day one in the right system. The fit matters here - teams running heavy...
NFLDraftBuzz,67,Elic Ayomanor,210,6-2,4.44,8.0,61.4,85.4,"Ayomanor projects as a high-end WR2 with legitimate WR1 upside, warranting strong consideration in the second round. His exceptional work..."
NFLDraftBuzz,68,Cameron Williams,335,6-5,5.4,15.0,70.7,85.3,The tape doesn't lie - Williams is a dancing bear with rare physical gifts who needs an offense built to maximize his strengths early in...
NFLDraftBuzz,69,Carson Schwesinger,225,6-2,4.7,5.0,54.8,85.2,Schwesinger currently fits the bill of a developmental WILL linebacker with core special teams value out of the gate. Shows natural...
NFLDraftBuzz,70,Tate Ratledge,320,6-6,4.97,13.0,67.5,85.2,Ratledge is a rock-solid guard prospect who should compete for a starting role by mid-season of his rookie year. His powerful base and...
NFLDraftBuzz,71,Omarr Norman-Lott,315,6-3,5.05,27.0,74.7,85.2,"Norman-Lott brings an intriguing mix of pass rush skills and developmental upside, showing the ability to consistently collapse pockets and..."
NFLDraftBuzz,72,Maxwell Hairston,186,6-1,4.28,10.0,45.3,85.1,I see Hairston as a day two cornerback who could become a valuable starter in the right system. His instincts in zone coverage are special...
NFLDraftBuzz,73,Elijah Arroyo,245,6-4,4.69,4.0,61.2,85.1,Arroyo profiles as a modern move tight end who can create matchup problems from multiple alignments in an NFL passing game. His combination...
NFLDraftBuzz,74,Isaiah Bond,180,5-11,4.35,11.0,69.1,85.1,"Bond projects as an impact ""Z"" receiver who can transform an NFL passing attack with his explosive play ability and developing route craft...."
NFLDraftBuzz,75,Kyle Kennard,254,6-5,4.76,26.0,73.2,85.1,I see a player who can step in and contribute immediately as a situational pass rusher while developing into a more complete edge defender....
NFLDraftBuzz,76,Darien Porter,200,6-4,4.3,18.0,68.2,85.0,"Despite being a late bloomer at the position, Porter's film shows a corner who could make an immediate impact in the right system. His..."
NFLDraftBuzz,77,Mason Taylor,255,6-5,4.65,3.0,55.6,84.9,"Taylor has the tools to carve out an early role in the passing game, particularly working against zone coverage from the slot. His..."
NFLDraftBuzz,78,Jared Ivey,285,6-6,5.09,30.0,89.4,84.9,"Put on the tape from his battles against Georgia and LSU, and you'll see why Ivey has day one starter potential in a 4-3 scheme. His..."
NFLDraftBuzz,79,Chris Paul Jr.,235,6-1,4.63,8.0,86.0,84.8,Paul Jr. profiles as a modern NFL WILL linebacker who can make an immediate impact on special teams while developing into a defensive...
NFLDraftBuzz,80,Barrett Carter,230,6-1,4.63,9.0,87.8,84.8,Carter projects as an impactful early-down linebacker who can develop into a three-down role with technical refinement in coverage. His...
NFLDraftBuzz,81,Devin Neal,215,5-11,4.58,9.0,90.2,84.8,"Neal's explosive athleticism immediately jumps off the screen – when he plants his foot and accelerates through the hole, he has that..."
NFLDraftBuzz,82,Ozzy Trapilo,309,6-8,5.21,16.0,79.9,84.7,Trapilo's calling card is his ability to stone-wall rushers in pass protection. He thrives in traditional drop-back passing schemes where...
NFLDraftBuzz,83,Andrew Mukuba,190,6-0,4.45,20.0,82.5,84.7,"Mukuba has the tools to become a dynamic playmaker in an NFL secondary, particularly in coverage-focused schemes that emphasize versatility..."
NFLDraftBuzz,84,Shemar Turner,300,6-4,4.8,22.0,64.6,84.6,Shemar Turner projects as a scheme-specific contributor with the potential to develop into a more impactful player. His versatility to...
NFLDraftBuzz,85,Deone Walker,345,6-6,5.28,25.0,72.1,84.6,Walker hits the NFL draft as a Day 2 prospect whose film shows both tantalizing potential and clear limitations. His pass rush ability...
NFLDraftBuzz,86,Danny Stutsman,241,6-4,4.52,10.0,90.5,84.6,Stutsman profiles as a throwback downhill linebacker who will make his biggest impact as an early-down run defender and blitz weapon. His...
NFLDraftBuzz,87,Sebastian Castro,205,5-11,4.59,32.0,122.3,84.6,"Castro brings a nice blend of intelligence, physicality and proven production that should translate well to the next level. His film shows..."
NFLDraftBuzz,88,Jordan Burch,295,6-6,4.67,24.0,68.8,84.5,The disconnect between Burch's athletic testing and actual pass rush impact jumps off the tape. While he possesses rare movement skills for...
NFLDraftBuzz,89,Gunnar Helm,250,6-5,4.84,6.0,79.7,84.5,Helm is a tight end ready to contribute in the passing game from day one while possessing the framework to develop into a complete player....
NFLDraftBuzz,90,Charles Grant,300,6-4,5.05,17.0,83.5,84.5,The development arc for Charles Grant projects as one of the more fascinating tackle storylines in this class. His wrestling-infused...
NFLDraftBuzz,91,Savion Williams,225,6-5,4.48,14.0,85.7,84.4,"Raw physical talent jumps off the tape with Williams, particularly in the vertical passing game where his combination of size and..."
NFLDraftBuzz,92,Quinn Ewers,210,6-2,4.74,8.0,93.4,84.4,"The painful truth about Quinn Ewers' 2024 campaign is that it likely cost him millions. A potential first-round pick entering the season,..."
NFLDraftBuzz,93,Darius Alexander,310,6-4,4.95,18.0,59.9,84.3,"Darius Alexander is an intriguing interior defensive line prospect with impressive physical traits and significant upside. At 6'4"", 310..."
NFLDraftBuzz,94,Jalen Milroe,225,6-2,4.4,6.0,71.4,84.3,Jalen Milroe enters the NFL as the most physically gifted quarterback in this class – a walking highlight reel who can score from anywhere...
NFLDraftBuzz,95,Ashton Gillotte,275,6-3,4.63,31.0,89.4,84.2,"Gillotte emerges as one of the most intriguing edge defenders in this class, combining elite explosive testing numbers with refined..."
NFLDraftBuzz,96,Kevin Winston Jr.,205,6-2,4.5,19.0,75.0,84.0,Winston Jr. is that rare safety who transcends scheme with his run defense and tackling acumen while showing enough versatility to carve...
NFLDraftBuzz,97,Zy Alexander,194,6-2,4.56,27.0,100.5,84.0,"Every NFL team is looking for lengthy corners who can match up with bigger receivers while holding their own in run support, and Alexander..."
NFLDraftBuzz,98,Tai Felton,181,6-2,4.37,19.0,117.7,84.0,Tai Felton projects as an immediate contributor from the slot with eventual potential to develop into a starting Z-receiver in systems that...
NFLDraftBuzz,99,Tez Johnson,165,5-10,4.51,15.0,90.6,83.8,"In timing-based passing attacks, Johnson's expertise in quick-game concepts and option routes makes him a natural fit from the slot. His..."
NFLDraftBuzz,100,Will Howard,235,6-4,4.85,7.0,87.6,83.7,"Howard's arm talent pops off the screen when he's in rhythm, and you love seeing a quarterback who looks natural under center in today's..."
NFLDraftBuzz,101,Jared Wilson,310,6-3,4.84,21.0,94.4,83.7,Wilson is the prototypical pass-first center who thrives in space but needs significant development as a drive blocker. His movement skills...
NFLDraftBuzz,102,Lathan Ransom,210,6-1,4.53,25.0,96.9,83.7,Ransom's tape screams classic box safety with the versatility to become a defensive chess piece in the right system. When you study his...
NFLDraftBuzz,103,Dylan Fairchild,315,6-5,5.15,26.0,133.3,83.7,Fairchild enters the NFL as a high-upside guard prospect whose elite pass protection skills give him a solid foundation to build upon. The...
NFLDraftBuzz,104,Chimere Dike,195,6-0,4.34,25.0,173.6,83.7,The tape shows a receiver ready to step in and win from the slot in a zone-heavy passing game from day one. Dike's masterful feel for...
NFLDraftBuzz,105,Xavier Restrepo,209,5-10,4.83,17.0,95.6,83.6,Restrepo's game shows elements of Julian Edelman – a technician who works the slot with dependable route-running. His footwork in tight...
NFLDraftBuzz,106,Tory Horton,185,6-3,4.41,18.0,108.0,83.6,Horton brings a specialized skillset that will immediately translate to teams needing vertical juice in their passing game. His tape shows...
NFLDraftBuzz,107,Jordan Phillips,320,6-3,5.1,33.0,109.3,83.6,"After hours of film study, one thing becomes crystal clear - Phillips has the raw tools to be a game-wrecking nose tackle in the NFL. The..."
NFLDraftBuzz,108,David Walker,260,6-2,4.69,13.0,118.8,83.6,Walker projects as a specialized rotational pass rusher who could provide immediate spark in third-down packages while developing a more...
NFLDraftBuzz,109,Smael Mondon Jr.,235,6-3,4.58,15.0,127.4,83.6,Mondon is the walking definition of a better athlete than football player at this stage. Despite possessing rare explosiveness and...
NFLDraftBuzz,110,Cam Skattebo,215,5-11,4.65,8.0,79.1,83.5,"Every few years, a back emerges from the depths of college football to force NFL evaluators to throw their traditional metrics out the..."
NFLDraftBuzz,111,Anthony Belton,336,6-6,5.26,18.0,83.7,83.5,Anthony Belton brings a tantalizing combination of massive size and surprising pass protection skill that smart offensive line coaches will...
NFLDraftBuzz,112,Billy Bowman Jr.,200,5-10,4.42,21.0,84.8,83.5,Bowman brings a fascinating blend of ball-hawking instincts and positional versatility that will intrigue NFL defensive coordinators. When...
NFLDraftBuzz,113,Joshua Farmer,318,6-3,5.11,29.0,88.5,83.5,"Farmer fits as a prototypical penetrating three-technique at the next level, where his explosive first step and natural power can be..."
NFLDraftBuzz,114,Terrance Ferguson,255,6-5,4.63,8.0,91.7,83.5,"Ferguson currently profiles as a solid Day 2 selection in the NFL Draft, likely coming off the board in the second or third round. His..."
NFLDraftBuzz,115,Denzel Burke,193,6-1,4.48,29.0,106.2,83.5,"Despite a rocky senior season, Burke stands as one of the more intriguing corner prospects in this class. His blend of size, physicality,..."
NFLDraftBuzz,116,Miles Frazier,325,6-5,5.24,23.0,117.1,83.5,"When the tape rolls on Frazier, you're watching a guard whose pass protection skills significantly outshine his run blocking. His eyes..."
NFLDraftBuzz,117,Jordan James,210,5-10,4.55,14.0,126.5,83.5,James profiles as an immediate contributor in a committee backfield with clear potential to develop into more. His combination of decisive...
NFLDraftBuzz,118,Kyle McCord,220,6-3,4.95,12.0,144.7,83.4,McCord profiles as a classic pocket passer whose football IQ and quick trigger will translate immediately to precision-based passing...
NFLDraftBuzz,119,Jaylin Lane,196,5-10,4.34,24.0,171.6,83.4,Watching Lane's film reveals a receiver with a clear path to NFL contribution through multiple avenues. He'll step in day one as a dynamic...
NFLDraftBuzz,120,Jacob Parrish,198,5-10,4.35,23.0,89.3,83.3,Parrish projects most effectively in pattern-matching and man coverage schemes where his exceptional footwork and route recognition...
NFLDraftBuzz,121,Emery Jones Jr.,315,6-6,5.3,22.0,95.9,83.3,Emery Jones Jr. brings a lot to the table as an NFL prospect. His flexibility and anchor strength make him a reliable pass...
NFLDraftBuzz,122,Dorian Strong,185,6-1,4.5,26.0,96.9,83.3,Dorian Strong has the makings of a fifth to sixth-round selection who could carve out a role as a contributing backup with eventual...
NFLDraftBuzz,123,Jeffrey Bassa,235,6-2,4.62,12.0,107.0,83.3,Jeffrey Bassa embodies the evolution of the modern NFL linebacker – a hybrid defender whose coverage instincts and blitz productivity align...
NFLDraftBuzz,124,Cobee Bryant,175,6-0,4.53,30.0,107.8,83.2,"Bryant brings a solid blend of ball skills and instincts that will make defensive coaches take notice. When studying his film, what jumps..."
NFLDraftBuzz,125,Dillon Gabriel,200,6-0,4.83,10.0,139.0,83.2,"Let's be real - the measurables are rough. Bottom-tier numbers across the board in height, weight, arm length, and wingspan isn't what..."
NFLDraftBuzz,126,Nohl Williams,200,6-1,4.5,33.0,128.8,83.1,"Williams brings some ball-hawking abilities to the NFL level, where his exceptional production and competitive toughness stand out more..."
NFLDraftBuzz,127,Kobe King,251,6-1,4.63,16.0,143.6,83.1,King projects as a rock-solid Mike linebacker who'll make his money as an early-down run defender in the NFL. His combination of processing...
NFLDraftBuzz,128,Jamaree Caldwell,340,6-1,5.16,32.0,104.9,83.0,Caldwell brings immediate value as a run-stuffing defensive tackle who can contribute in a rotation from day one. His game is built on...
NFLDraftBuzz,129,Riley Leonard,216,6-4,4.52,11.0,143.5,83.0,Leonard's film reveals a quarterback whose physical traits outstrip his current level of play. Despite moments of brilliance - like that...
NFLDraftBuzz,130,Cody Simon,235,6-2,4.59,17.0,144.6,83.0,Simon brings a skill set tailor-made for specific roles rather than three-down dominance. His film reveals a linebacker with two clear...
NFLDraftBuzz,131,Jake Majors,315,6-3,5.0,38.0,191.8,83.0,Pull up the tape on Majors and it hits you right away – this kid passes the eye test in pass protection but leaves you wanting more as a...
NFLDraftBuzz,132,Jonas Sanker,210,6-1,4.48,31.0,116.0,82.9,"Teams will value Sanker's impact on punt and kick units, where his anticipation and technical proficiency stand out. Between the hashes, he..."
NFLDraftBuzz,133,Rylie Mills,295,6-5,4.79,42.0,138.2,82.9,Mills brings a toolbox that clearly tilts toward disruption rather than pure anchor strength. His film shows a defender who attacks with...
NFLDraftBuzz,134,Brashard Smith,196,5-10,4.39,16.0,138.5,82.9,"The burst, acceleration, and natural pass-catching traits show Day 2 potential in a spread-based attack. Inside zone and duo concepts..."
NFLDraftBuzz,135,Mello Dotson,190,6-1,4.59,36.0,159.4,82.8,"Dotson thrives in zone coverage where his exceptional ball skills and route recognition can shine, particularly in systems that allow him..."
NFLDraftBuzz,136,LeQuint Allen,201,6-0,4.6,21.0,165.5,82.7,"Allen brings an intriguing blend of skills that modern NFL offenses covet, particularly his sophisticated route-running and natural..."
NFLDraftBuzz,137,Hollin Pierce,344,6-8,5.42,33.0,166.4,82.6,The massive frame and raw power profile suggest immediate utility as a swing tackle with developmental upside. Natural anchor strength and...
NFLDraftBuzz,138,Malachi Moore,201,6-0,4.5,40.0,182.5,82.5,Put the tape on and you see a defensive back who processes the game at a high level - the kind of player who could find his role in an NFL...
NFLDraftBuzz,139,Kurtis Rourke,223,6-5,4.74,13.0,215.2,82.5,Rourke projects as a high-floor backup quarterback who could develop into a spot starter in a timing-based passing attack that emphasizes...
NFLDraftBuzz,140,Oluwafemi Oladejo,250,6-3,4.7,11.0,90.9,82.4,"The NFL transition won't be seamless for Oladejo, but his versatility offers intriguing possibilities for a patient coaching staff. His..."
NFLDraftBuzz,141,Tyler Shough,225,6-5,4.63,9.0,106.7,82.3,The tape shows a quarterback who thrives in structured passing attacks featuring heavy play-action usage. When Shough can plant that...
NFLDraftBuzz,142,Sai'vion Jones,280,6-6,4.74,36.0,111.0,82.2,The film shows a defensive lineman who's built for the modern NFL but needs significant technical development to unlock his abilities. He's...
NFLDraftBuzz,143,Aeneas Peebles,290,6-1,4.94,39.0,125.1,82.2,Peebles enters the league as an interior defender with a clear strength as an interior pass-rusher. When aligned in the three-technique or...
NFLDraftBuzz,144,Trevor Etienne,205,5-9,4.42,15.0,127.3,82.1,"Etienne brings immediate third-down value with legitimate upside to develop into more. His vision between the tackles jumps off the screen,..."
NFLDraftBuzz,145,Logan Brown,315,6-6,5.18,25.0,132.3,82.1,Brown profiles as a developmental tackle who flashes legitimate power in the run game while showing some refinement in pass protection. His...
NFLDraftBuzz,146,Mitchell Evans,260,6-5,4.69,9.0,134.8,82.1,"TE2 with starter upside in heavy personnel packages, particularly for teams that prioritize multiple tight end sets and a power running..."
NFLDraftBuzz,147,Pat Bryant,200,6-3,4.61,23.0,154.8,82.1,Bryant will thrive in systems favoring iso routes and boundary work where his technical savvy and length create natural advantages. His...
NFLDraftBuzz,148,Jackson Slater,316,6-4,5.01,30.0,157.5,82.1,"The tape doesn't lie - Slater has NFL starter written all over him, particularly in a zone-based system where his athleticism and spatial..."
NFLDraftBuzz,149,Nick Nash,195,6-3,4.57,22.0,150.8,82.0,What makes Nash such an intriguing prospect is the tantalizing combination of his rapid development curve and NFL-ready frame. Despite...
NFLDraftBuzz,150,Kaimon Rucker,265,6-2,4.79,49.0,182.5,82.0,"Rucker has ""designated pass-rush weapon"" written all over him. His film reveals a defender whose primary value lies in his ability to..."
NFLDraftBuzz,151,O'Donnell Fortune,185,6-1,4.58,45.0,199.0,81.8,The tape shows a corner custom-built for the modern NFL's emphasis on pattern-match coverage. Fortune's anticipation jumps off the screen...
NFLDraftBuzz,152,Luke Kandra,323,6-4,5.17,43.0,202.0,81.6,Kandra's tape reveals a player best suited for zone-blocking schemes where his movement skills shine. The Arizona State game highlighted...
NFLDraftBuzz,153,Bhayshul Tuten,209,5-11,4.32,11.0,109.0,81.5,"The more you watch Tuten's tape, the more you see a back who could be a steal on Day 3. He's got that rare combo of track speed and..."
NFLDraftBuzz,154,Andres Borregales,170,5-11,4.9,,248.8,81.5,Borregales profiles as a day three selection who could immediately compete for a starting role in the NFL. His combination of proven...
